feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0862	Age	Age	0.151962683646639	0.041757875982721	573	165	0.000512744847886877	0.00241480515482294
BIOTINBIOSYNTHESISPWY	Age	Age	0.147981934429333	0.041956292723072	573	160	0.000732881901466566	0.00323508382820939
PWY6519	Age	Age	0.147805178176414	0.0419409818093998	573	160	0.000736876295886399	0.00323508382820939
PWY6876	Age	Age	-0.165931140913411	0.0470089093129413	573	152	0.000738041937994537	0.00323508382820939
PWY7237	Age	Age	-0.182061544776909	0.052437223624315	573	340	0.00081972193703229	0.0035342109744179
PWY8178	Age	Age	-0.178326029918365	0.0518056477649899	573	360	0.000847347324063882	0.00359439268110969
ARGSYNBSUBPWY	Age	Age	-0.165191822323405	0.0484183023578269	573	318	0.00101032254893841	0.00421769572017146
PWY5941	Age	Age	-0.199110801317275	0.0592398963729164	573	339	0.00112557299027117	0.00455424148371258
PWY6317	Age	Age	-0.196378168975837	0.0582668640747102	573	332	0.0011235679412907	0.00455424148371258
PWY5030	Age	Age	0.156778136929939	0.0468745279160161	573	358	0.0013085123969202	0.00521422364227293
THISYNARAPWY	Age	Age	-0.143762533132067	0.044673010033953	573	341	0.00171873647350655	0.00674668197809287
PWY7238	Age	Age	-0.155719959882091	0.0484384838303086	573	328	0.00194610493366615	0.00752684702285585
PWY5103	Age	Age	0.149114844730746	0.0468419000858963	573	325	0.00202651168324531	0.00761389389562167
PWY7115	Age	Age	0.123944192072718	0.0399563529510467	573	282	0.00202363514885213	0.00761389389562167
FASYNELONGPWY	Age	Age	0.13459805289975	0.0422636535253305	573	169	0.00212635471113801	0.00784724688049185
GLUCONEOPWY	Age	Age	-0.121937594926209	0.0395363849070131	573	345	0.00214829572393693	0.00784724688049185
PWY4041	Age	Age	0.176381474548875	0.0564195392360158	573	344	0.00236780377215998	0.00853058071339829
GOLPDLCATPWY	Age	Age	-0.133125298211261	0.0423986763126815	573	355	0.00262993270680472	0.00922229735852854
PWY66391	Age	Age	-0.143514432902794	0.0457574014824885	573	304	0.00262957046799154	0.00922229735852854
PWY5686	Age	Age	-0.12460665563139	0.0405486907109214	573	332	0.00287992591040679	0.00971051941585879
PWY7790	Age	Age	-0.12460665563139	0.0405486907109214	573	332	0.00287992591040679	0.00971051941585879
PWY7791	Age	Age	-0.12460665563139	0.0405486907109214	573	332	0.00287992591040679	0.00971051941585879
PWY6386	Age	Age	0.159799122597899	0.0526255537472303	573	295	0.00300872052585474	0.0100163733962
PWY01586	Age	Age	0.125665469088704	0.0411511070857147	573	326	0.00319120050114527	0.0104910716475151
FUCRHAMCATPWY	Age	Age	0.117037135783076	0.0397556845301443	573	76	0.0033848488375376	0.0109903116576838
PWY3001	Age	Age	0.150309842120605	0.0505459608747922	573	334	0.00362731608684231	0.0113569539385658
PWY5100	Age	Age	-0.177067951507973	0.0592683581459196	573	305	0.0035817304914953	0.0113569539385658
PWYI9	Age	Age	-0.136606237111867	0.0454816013892317	573	275	0.00360628779189277	0.0113569539385658
METHACETATEPWY	Age	Age	-0.129234447691415	0.0438910152813827	573	374	0.00421904876533051	0.0130542332386109
P41PWY	Age	Age	-0.169521404997824	0.0598432230959351	573	311	0.00566067151170221	0.0173111233439265
PWY6606	Age	Age	-0.124237555278837	0.0439750921540353	573	349	0.00599764649826741	0.0181308164257969
PEPTIDOGLYCANSYNPWY	Age	Age	0.144954111395409	0.0525044584391317	573	284	0.00678956670911176	0.0202915459601863
ANAGLYCOLYSISPWY	Age	Age	0.107966079054001	0.0405305146889699	573	371	0.00795611937214327	0.0235107797176818
PWY6163	Age	Age	-0.122558454349627	0.0455340042501723	573	307	0.00840446122622011	0.0245597033610654
THRESYNPWY	Age	Age	0.132710517933956	0.0498255782836171	573	309	0.00910947572338489	0.0263273858818706
GLYCOLYSIS	Age	Age	0.112442387930487	0.0421259171719197	573	381	0.00936763754277299	0.0267792247146663
SO4ASSIMPWY	Age	Age	0.119304130799468	0.0457923647746983	573	271	0.0109004990811072	0.0308261425627009
DTDPRHAMSYNPWY	Age	Age	-0.101206160047698	0.0397962196204842	573	292	0.0112672876732174	0.0314154408416268
SULFATECYSPWY	Age	Age	0.119474437659998	0.0460951120208277	573	273	0.0113477828135154	0.0314154408416268
TCA	Age	Age	0.114827549286919	0.0450682962473055	573	88	0.0129582844440852	0.0351343176164371
Uniqueness	Age	Age	0.115343583290601	0.0453543241053299	573	262	0.0129460762815119	0.0351343176164371
PWY6897	Age	Age	-0.110367581375549	0.0437228028354185	573	351	0.0133917834751293	0.0359391740199899
PWY1ZNC1	Age	Age	0.116041075134507	0.0459022141424569	573	256	0.0137878850441515	0.0366284218849682
AROPWY	Age	Age	-0.106149925846463	0.0426233646126409	573	322	0.0146014035315317	0.0383747241436645
P185PWY	Age	Age	-0.105509190805718	0.0424142204883526	573	179	0.0147370613631563	0.0383747241436645
PWY6387	Age	Age	0.131119885527204	0.0540167624621347	573	272	0.0168516817380443	0.0434509048735847
PWY6607	Age	Age	-0.106985645777684	0.0439986453406943	573	370	0.0179241267563451	0.0457674304555221
PWY5840	Age	Age	0.101324844027181	0.0428822251663954	573	67	0.0204821096451406	0.0513028079683047
PWY6293	Age	Age	-0.107495099388983	0.0452719080989175	573	317	0.0204285795089202	0.0513028079683047
PWY7761	Age	Age	-0.123111536253734	0.0524011754809132	573	375	0.0208942076234912	0.0514488295645804
PWY801	Age	Age	-0.106954474268906	0.0452323994571266	573	316	0.0209316530928141	0.0514488295645804
PWY4984	Age	Age	-0.106671402159794	0.0453199407046204	573	382	0.0211987256498526	0.0516228226473263
PANTOSYNPWY	Age	Age	0.106871551893094	0.0462052929168325	573	283	0.0233773892619386	0.0534630728338248
PWY5897	Age	Age	0.0993610919314228	0.0430295321590084	573	67	0.023371834561711	0.0534630728338248
PWY5898	Age	Age	0.0993610919314228	0.0430295321590084	573	67	0.023371834561711	0.0534630728338248
PWY5899	Age	Age	0.0993610919314228	0.0430295321590084	573	67	0.023371834561711	0.0534630728338248
PWY6895	Age	Age	0.111676442447982	0.0481369265342345	573	113	0.0228234265157218	0.0534630728338248
PWY6969	Age	Age	0.106550081196359	0.0457837476511711	573	334	0.0224217561966817	0.0534630728338248
PWY7688	Age	Age	-0.106228536200482	0.0457429637280679	573	354	0.0233414451707169	0.0534630728338248
NONOXIPENTPWY	Age	Age	-0.119279690091708	0.0524725018056039	573	343	0.0252567748513271	0.0562926422533817
PWY6595	Age	Age	-0.10106165573115	0.0439020829949038	573	348	0.0249425790143647	0.0562926422533817
PWY0301	Age	Age	0.101716641512395	0.044379053136368	573	122	0.0250955297833218	0.0562926422533817
PWY6385	Age	Age	0.119227159788802	0.0531250944010683	573	295	0.0269012190418054	0.0594539546890321
PWY6961	Age	Age	0.0981550616326839	0.0436352075672846	573	120	0.0279326220942635	0.0612189967565942
PWY7328	Age	Age	0.0973729611359193	0.0438185870813947	573	316	0.028711675249128	0.0621528103556606
PWY821	Age	Age	0.0966118179642291	0.0433366315056536	573	91	0.0288313416858958	0.0621528103556606
GLYCOCATPWY	Age	Age	-0.0889876868069319	0.0398032450101138	573	365	0.0294293351706725	0.0629261394299746
PWY2942	Age	Age	-0.0830558948248454	0.0389378144274769	573	340	0.0334015822607617	0.0708436785046801
PWY6292	Age	Age	-0.0865194759407307	0.040497208264437	573	331	0.0359050312735117	0.0755441857994687
PWY5667	Age	Age	-0.0975871243648784	0.0460404432634096	573	306	0.0371708969467031	0.076975951949696
PWY01319	Age	Age	-0.0975871243678138	0.0460404432651282	573	306	0.0371708969490928	0.076975951949696
BRANCHEDCHAINAASYNPWY	Age	Age	0.0974704836306103	0.0464110525000973	573	326	0.0386580065572564	0.0794301228481128
SALVADEHYPOXPWY	Age	Age	-0.106880817231772	0.0510596616501938	573	352	0.0391814988154785	0.079881660375743
PWY6151	Age	Age	-0.0920425926174461	0.0439783944426797	573	308	0.0400472018261028	0.0810185698481926
PWY5005	Age	Age	-0.0985828964622533	0.0476133066082243	573	359	0.0412203116425338	0.0827552821525677
FERMENTATIONPWY	Age	Age	-0.102182164513871	0.0496132667726095	573	332	0.0428094716649623	0.0852946291506446
PWY5505	Age	Age	0.0972203531793183	0.0482106948127673	573	362	0.0470947107027331	0.0931271346978857
PWY5695	Age	Age	0.0984390231271705	0.0493786296937886	573	332	0.0490857907651271	0.0963400221733466
GLUCOSE1PMETABPWY	Age	Age	0.086957115439244	0.0436857397036307	573	113	0.0500605307636081	0.0975253303024366
PHOSLIPSYNPWY	Age	Age	0.0864584318482546	0.0434813550001107	573	152	0.0504582360354959	0.0975773240980545
PWY7400	Age	Age	-0.0819952704947101	0.0420519021666167	573	365	0.0560157848526997	0.107533951943504
PWY6121	Age	Age	-0.0849254030654099	0.0440104483366842	573	312	0.0573914776353719	0.109376511725383
PWY7663	Age	Age	0.101842654726374	0.0530614488700635	573	324	0.05797953962889	0.109702294405742
PWY6122	Age	Age	-0.0810238540655421	0.0430577697787175	573	311	0.0639616898630525	0.117635835202677
PWY6277	Age	Age	-0.0810238540655421	0.0430577697787175	573	311	0.0639616898630525	0.117635835202677
PWY6731	Age	Age	-0.0937853681219879	0.0498627469757855	573	360	0.0631344128667159	0.117635835202677
PWY7383	Age	Age	-0.0907271867684567	0.0481109612164651	573	335	0.0626972656621305	0.117635835202677
PWY7953	Age	Age	0.0972291533587495	0.0527752431061376	573	301	0.0683301020874029	0.124797339229076
PWY7211	Age	Age	0.0759744057242104	0.0415445082449306	573	66	0.0709371092935604	0.128665239615217
PWY5973	Age	Age	0.0950604562401768	0.0529582345481783	573	330	0.0758842728837066	0.136695642249417
PWY6353	Age	Age	-0.079212300926576	0.0449689195147939	573	380	0.082550746264032	0.147692831751295
GLYOXYLATEBYPASS	Age	Age	0.072596915264131	0.0414139027454905	573	123	0.0840081957081068	0.149284834265082
HISTSYNPWY	Age	Age	-0.0745183019652366	0.0427439556507225	573	336	0.084919892554345	0.149892159340891
PWY6953	Age	Age	-0.0701123539354697	0.0406235367867844	573	293	0.089376500388032	0.156706797347016
HEMESYN2PWY	Age	Age	0.0674575128218475	0.0396242324792755	573	161	0.0935480368660923	0.162934660236969
PWY6823	Age	Age	-0.0821997022481937	0.0490635975841923	573	348	0.0973516303372996	0.168443939333617
PWY66409	Age	Age	0.0735766153527808	0.0447174268327437	573	127	0.104277107807565	0.179247577473134
FUCCATPWY	Age	Age	0.0738090088228549	0.0454383756013621	573	288	0.108603212046368	0.185471719273993
PWY6608	Age	Age	-0.0822367655765032	0.0518535636858563	573	346	0.116293520142343	0.197323843854427
X1CMET2PWY	Age	Age	0.0892012620113094	0.0567185036514446	573	322	0.119269523147075	0.201076183254364
PWY7345	Age	Age	-0.0682706201787357	0.0443758746014713	573	310	0.128323631551336	0.214962516547779
P164PWY	Age	Age	-0.0673335283215942	0.0441396866361865	573	372	0.13201133611341	0.21974038859384
PWY6470	Age	Age	-0.0605171154646766	0.0409190752682747	573	76	0.139715015133619	0.231100936982023
GLUDEGIPWY	Age	Age	-0.0674937389727499	0.045314504827596	573	326	0.140831089266582	0.231491102981944
PWY7208	Age	Age	-0.0693963226577571	0.0469503619417415	573	309	0.143702364807615	0.234743614561508
P105PWY	Age	Age	0.0695804667941006	0.0477418891183431	573	267	0.149185646722759	0.242196451161022
PWY702	Age	Age	-0.060518213046142	0.0421887441983216	573	345	0.155487167653643	0.250878068054651
PWY724	Age	Age	0.0677393347731803	0.0477843822801395	573	358	0.160146161075281	0.25681975830975
ILEUSYNPWY	Age	Age	0.0647267526117063	0.0461717559870395	573	325	0.164601401283254	0.26078414781624
PWY7977	Age	Age	0.0818120012853755	0.0584732197857557	573	316	0.164574439320466	0.26078414781624
HEXITOLDEGSUPERPWY	Age	Age	-0.0564336194099063	0.041315547824488	573	236	0.172521182462949	0.271695035854823
PWY7392	Age	Age	-0.0614016480938039	0.0448277141916831	573	327	0.175279484504342	0.274395859670488
PWY4FS7	Age	Age	-0.0568949623846528	0.0416999892542052	573	334	0.177394354588387	0.27443950151027
PWY4FS8	Age	Age	-0.0568949623846528	0.0416999892542052	573	334	0.177394354588387	0.27443950151027
COMPLETEAROPWY	Age	Age	-0.0626302206428898	0.046521970903255	573	306	0.181486851460149	0.279128900198942
NONMEVIPPPWY	Age	Age	-0.0611524073503278	0.0470759322834426	573	330	0.197171725164221	0.301489323942965
GALACTARDEGPWY	Age	Age	0.0544348504195555	0.042248996072212	573	179	0.201060132344545	0.303901234520777
GLUCARGALACTSUPERPWY	Age	Age	0.0544348504195555	0.042248996072212	573	179	0.201060132344545	0.303901234520777
PWY6305	Age	Age	-0.0615256680323814	0.0488253171217164	573	357	0.211027477797443	0.317144152347014
PWY7456	Age	Age	-0.0601563517353053	0.0488687642431794	573	369	0.222078715589975	0.331856262500928
GLUCARDEGPWY	Age	Age	0.0512860064048054	0.0418357312631369	573	174	0.223631491655774	0.332288600595868
PWY1269	Age	Age	-0.060281956564977	0.0493907688675597	573	357	0.2254061290055	0.333043887238464
ANAEROFRUCATPWY	Age	Age	0.045877581555561	0.0380412925326699	573	341	0.232402335970168	0.341462650056728
P42PWY	Age	Age	0.0578612296082541	0.0503220970326139	573	308	0.253758491269347	0.370769351132435
PWY6527	Age	Age	-0.0674600742169235	0.0596142969120625	573	321	0.260646200949966	0.378729010220117
PWY5345	Age	Age	0.0468265019784226	0.0417147202327694	573	229	0.265111071695759	0.383100065142772
PWY6859	Age	Age	-0.0479540461395411	0.0441214093703551	573	325	0.280954606001602	0.403776291685362
PYRIDOXSYNPWY	Age	Age	0.0427826921895363	0.0400004408842457	573	343	0.285293263254924	0.407783305630679
P441PWY	Age	Age	-0.0527875565925407	0.0508334990824845	573	315	0.302375601161085	0.429863692461434
PWY0845	Age	Age	0.0412738197771171	0.0411846490041061	573	345	0.320187713801773	0.45273854155842
PWY1861	Age	Age	0.0476888594906381	0.0495107223943829	573	168	0.338001015481477	0.475370412147746
PWY7323	Age	Age	-0.043997439272276	0.0464098587699006	573	385	0.346002307048423	0.484035142307103
PWY5723	Age	Age	-0.0417352475890528	0.0444991667388296	573	296	0.351178801639151	0.488677380058713
HSERMETANAPWY	Age	Age	0.0471392185584332	0.0510342135137359	573	329	0.357914635038218	0.495429205342375
PWY5097	Age	Age	-0.0355840440625205	0.0389560004755667	573	364	0.361446866545869	0.497699088489861
P122PWY	Age	Age	-0.0469008426350387	0.0516317652604749	573	276	0.3665635686027	0.502115721575573
PWY5497	Age	Age	0.0388570086025774	0.0442912289137611	573	210	0.383313603744	0.522339263133015
PWY5676	Age	Age	-0.0394268269222582	0.0456439679550908	573	361	0.390316695700225	0.529140675098759
HISDEGPWY	Age	Age	-0.0434314894507982	0.0507844901154068	573	295	0.394565086057485	0.529441926699584
PWY6703	Age	Age	0.0443892655569382	0.0517794514025229	573	300	0.39352773013925	0.529441926699584
PWY6545	Age	Age	-0.038656245738153	0.0458302818570631	573	347	0.401561164927626	0.536094347086119
PWY5188	Age	Age	-0.0392792042174424	0.0483794187041169	573	325	0.419039637417105	0.554887186161824
PWY01297	Age	Age	0.0397363982096523	0.0490023955402685	573	350	0.419857604738414	0.554887186161824
PWY5121	Age	Age	-0.0360551727830014	0.0448220330382301	573	339	0.423915438805555	0.557448802029304
SERGLYSYNPWY	Age	Age	0.0371182258286838	0.0471819120015381	573	325	0.433594373939936	0.567339902219916
NAGLIPASYNPWY	Age	Age	-0.0356372096441243	0.0460745686644851	573	267	0.441347393865833	0.571794899441941
PWY8073	Age	Age	-0.0356372096441243	0.0460745686644851	573	267	0.441347393865833	0.571794899441941
P161PWY	Age	Age	0.0382057533734274	0.0498971566362494	573	352	0.446221154236066	0.575275311588654
COLANSYNPWY	Age	Age	0.0320916994574538	0.0434619435835166	573	355	0.462525817023078	0.593386779888144
PWY6147	Age	Age	-0.0321025602601742	0.0446712885698097	573	312	0.474540501551358	0.604614811872413
PWY6562	Age	Age	-0.0406895799092807	0.0568412412280172	573	106	0.475875536340644	0.604614811872413
PWY5136	Age	Age	-0.0337226969442963	0.0478908041845175	573	364	0.483691682381295	0.606291784858171
PWY6565	Age	Age	-0.040259374029992	0.0568992781414167	573	106	0.48098412257085	0.606291784858171
PWY6936	Age	Age	0.0300519333026438	0.0427078940564364	573	326	0.484111311103483	0.606291784858171
CITRULBIOPWY	Age	Age	-0.0352744096140827	0.0506288747059133	573	362	0.48801703776929	0.608286639494423
PWY7184	Age	Age	-0.0311560434211768	0.0461151314750996	573	342	0.501262742277476	0.621849534051775
PWY7090	Age	Age	-0.0291694256160677	0.0442234578135756	573	191	0.511700454187583	0.631817931696405
PYRIDNUCSYNPWY	Age	Age	0.039655869787031	0.0606623039194564	573	285	0.514659925190464	0.632502618341551
PWY0166	Age	Age	-0.0295981287697038	0.0460454305980393	573	343	0.522215607471029	0.638803277976189
POLYISOPRENSYNPWY	Age	Age	-0.0276688327244146	0.0438139405890957	573	321	0.529903627515103	0.642233428739502
PWY66429	Age	Age	-0.0283210207378209	0.0446257889976278	573	311	0.527882211837339	0.642233428739502
PWY7197	Age	Age	0.0290853989021712	0.0474588782491197	573	319	0.541726958503553	0.653551330671717
PWY7229	Age	Age	0.0276807006172449	0.0463117679477765	573	326	0.551622111426326	0.661838490704461
PWY01298	Age	Age	-0.0289101139235573	0.048691882237331	573	365	0.554235666490452	0.661838490704461
PWY01477	Age	Age	0.0284077614811962	0.0480786713411326	573	326	0.556145651884737	0.661838490704461
KETOGLUCONMETPWY	Age	Age	-0.0268392018269837	0.046739366488082	573	429	0.567634507653475	0.672467907715604
PWY241	Age	Age	-0.0244992504351668	0.044104519481824	573	320	0.580141719594487	0.684203014589014
PWY5913	Age	Age	0.0200065052687491	0.0393401966235826	573	337	0.613194223535452	0.716755914621439
PWY7316	Age	Age	-0.0217083549913802	0.0426488112390948	573	322	0.612244688237665	0.716755914621439
PWY6531	Age	Age	0.0234686429072608	0.0475627162935081	573	235	0.623266197863747	0.725305354151175
PWY5981	Age	Age	-0.0208119962885489	0.0425496132423301	573	337	0.626218154040872	0.725530284197133
GALACTITOLCATPWY	Age	Age	0.0192235165884767	0.0412163565895461	573	342	0.64111141549623	0.739527641559248
P108PWY	Age	Age	-0.0216186367543764	0.0474797196079186	573	255	0.650434243901918	0.747005267013993
PWY7117	Age	Age	-0.019695300148234	0.0443037753556581	573	321	0.657865827677828	0.75225527251856
PANTOPWY	Age	Age	0.0220363023207331	0.0513196594116243	573	287	0.668826360081193	0.760544627350989
PWY6628	Age	Age	0.0232255615796631	0.0544544891181216	573	314	0.670898682682242	0.760544627350989
PWY841	Age	Age	0.0190501049371802	0.04605708008432	573	334	0.680190227259476	0.767768368108335
PWY5659	Age	Age	0.0162768121543582	0.0435952967599212	573	355	0.709907848300598	0.791126119080752
PWY6549	Age	Age	-0.0175064409653296	0.0465571308463254	573	352	0.708095393190401	0.791126119080752
PWY7228	Age	Age	-0.0183910167513835	0.0482299736288099	573	313	0.704032847969374	0.791126119080752
ALLANTOINDEGPWY	Age	Age	-0.0163375993399989	0.0448785252504367	573	345	0.71678896701081	0.795424043560519
ARGPOLYAMINESYN	Age	Age	-0.0150086015560159	0.0436016398537402	573	336	0.731703896802927	0.805694713316893
PWY7282	Age	Age	0.0149052262379357	0.0433666382385251	573	363	0.732171241379229	0.805694713316893
PWY01241	Age	Age	-0.0166715320314504	0.0494965119593134	573	340	0.736980113838185	0.807607374747678
GLYCOLYSISED	Age	Age	-0.0138185514520207	0.0426571492595112	573	314	0.747049179122635	0.815244539872419
PWY3841	Age	Age	-0.0143885542560166	0.0457036779435566	573	306	0.753671326870494	0.819072557714628
LACTOSECATPWY	Age	Age	-0.0135209984577402	0.0451690314763206	573	362	0.765505829172069	0.828510424165655
PWY01479	Age	Age	0.0116438693756026	0.0436763205014807	573	216	0.790497084270056	0.852052185094364
PWY6630	Age	Age	-0.0110015884809839	0.05306040421866	573	302	0.836302301583257	0.897744919658761
PWY6125	Age	Age	-0.00909400928894722	0.0467016406666742	573	320	0.846086073384085	0.90455543617892
POLYAMSYNPWY	Age	Age	-0.00824903494869187	0.0472261904545864	573	349	0.861781035268754	0.915051155647438
PWY7111	Age	Age	0.00842922011604095	0.0486629644169443	573	321	0.862861926237889	0.915051155647438
PWY5910	Age	Age	-0.00737520823931455	0.0446261539290427	573	257	0.869163211009068	0.918031825282671
PWY922	Age	Age	-0.00686158002335238	0.0448847760367451	573	257	0.878897319501686	0.924599980115773
PWY5022	Age	Age	0.00636116826277488	0.0446009246071365	573	252	0.887009101303531	0.929415910927604
PWY5347	Age	Age	-0.00475588638010074	0.0448778422065553	573	143	0.915877927557324	0.955856725982445
ASPASNPWY	Age	Age	0.00404318852556515	0.0471790182783209	573	285	0.931882041075359	0.968715323331302
METSAMPWY	Age	Age	-0.00190575444355094	0.0447705908666346	573	143	0.966157023212123	0.97730498886457
METSYNPWY	Age	Age	-0.0020496878226128	0.0449020085200451	573	143	0.963709141793871	0.97730498886457
P124PWY	Age	Age	-0.00269882349585386	0.0500146333545217	573	321	0.957090693909314	0.97730498886457
PWY621	Age	Age	0.00330523511554627	0.0474605573951057	573	360	0.944647615917747	0.97730498886457
PWY7198	Age	Age	0.00278436290430703	0.0505217957584691	573	386	0.956188495078049	0.97730498886457
PWY7220	Age	Age	-0.00219018450370624	0.0469604898903612	573	313	0.962912602398435	0.97730498886457
PWY7222	Age	Age	-0.00219018450370624	0.0469604898903612	573	313	0.962912602398435	0.97730498886457
PWY6126	Age	Age	0.00109604522287532	0.0462444319349036	573	330	0.98114730169349	0.984892138722855
