term.clean	term	component	std.error	z.ratio	bound	%ch	PVE	feature	LRT.pval
Age	Age	0.135845035356689	0.0794801019509717	1.70917037122684	P	0.3	0.125598938189101	Dubosiella	1.29525201675307e-09
Batch	Batch	0.0440796347615119	0.0109243812886276	4.03497768861282	P	0	0.0407549330549508	Dubosiella	1.31117339208231e-13
Cage	Cage	0.0693630805917425	0.0149159900313514	4.65024986245973	P	0	0.0641313777052871	Dubosiella	8.88178419700125e-16
Cohort	Cohort	0.0100906549476423	0.0120063014068466	0.840446579317768	P	0.7	0.00932956838451048	Dubosiella	0.351954153249591
Diet	Diet.5mo.as.AL	0.105796516986013	0.0775573158297118	1.36410751009363	P	0	0.0978168260817059	Dubosiella	0
Genetics	vm(Mouse, kinship.mat.x2)	0.0175354745231504	0.0167423267944278	1.04737380523396	P	0	0.0162128632449965	Dubosiella	0.235310845703941
Mouse	ide(Mouse)	0.0566968186377051	0.0176592150802207	3.21060808083191	P	0	0.0524204671955658	Dubosiella	0.000310392917672431
Residual	units!R	0.589704965818953	0.0183268819688523	32.1770482737431	P	0	0.545226532255848	Dubosiella	NA
Time	Time	0.0524657147769713	0.0289592576830711	1.81170786044152	P	0.6	0.0485084938880348	Dubosiella	0.000867586382789387
