Taxon	h2	RLRT.pval	adj.pval	id.SE	is.dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.05759925	0.2707	0.41584706	0.11967359	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.04736842	0.2959	0.43962286	0.12573934	
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	0.03884378	0.3136	0.45297778	0.12719311	dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	0.02263794	0.3372	0.47307619	0.11500153	
k__Bacteria;p__Verrucomicrobia	0.01760095	0.3615	0.47307619	0.15351637	dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0.0168759	0.3559	0.47307619	0.12675912	dup
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.01633284	0.3645	NA	0.15328698	
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.01633284	0.3645	NA	0.15328698	
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	0.01633284	0.3645	NA	0.15328698	
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	0.01633284	0.3645	0.47307619	0.15328698	
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.00751	0.3744	NA	0.11700663	
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.00751	0.3744	0.47307619	0.11700663	dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	2.79E-03	0.3821	0.47307619	0.07863236	
k__Bacteria;p__Actinobacteria	6.01E-05	1	1	0.05653504	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	2.37E-06	1	NA	0.0018712	dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	2.37E-06	1	1	0.0018712	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	5.49E-07	1	1	0.00088261	dup
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	1.50E-07	1	1	0.00018493	dup
k__Bacteria;p__Proteobacteria	7.69E-08	1	1	0.00035593	
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	6.93E-09	1	NA	5.56E-05	dup
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	6.93E-09	1	NA	5.56E-05	dup
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	6.93E-09	1	1	5.56E-05	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	1.35E-18	0.3913	0.4732	9.91E-10	
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0	1	1	0	dup
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0	1	1	0	dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0	1	NA	0	dup
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0	1	1	0	
