one.minus.specificity,sensitivity,fold
0.21221221,0.19148181,mean
0.21321321,0.19148181,mean
0.21421421,0.19148181,mean
0.21521522,0.19148181,mean
0.21621622,0.19148181,mean
0.21721722,0.19148181,mean
0.21821822,0.19148181,mean
0.21921922,0.19148181,mean
0.22022022,0.19148181,mean
0.22122122,0.19148181,mean
0.22222222,0.19148181,mean
0.22322322,0.19148181,mean
0.22422422,0.19148181,mean
0.22522523,0.19148181,mean
0.22622623,0.19578289,mean
0.22722723,0.19578289,mean
0.22822823,0.19578289,mean
0.22922923,0.19578289,mean
0.23023023,0.19578289,mean
0.23123123,0.19578289,mean
0.23223223,0.19578289,mean
0.23323323,0.19578289,mean
0.23423423,0.19578289,mean
0.23523524,0.19578289,mean
0.23623624,0.19578289,mean
0.23723724,0.19578289,mean
0.23823824,0.19885981,mean
0.23923924,0.19885981,mean
0.24024024,0.19885981,mean
0.24124124,0.19885981,mean
0.24224224,0.19885981,mean
0.24324324,0.19885981,mean
0.24424424,0.19885981,mean
0.24524525,0.19885981,mean
0.24624625,0.19885981,mean
0.24724725,0.19885981,mean
0.24824825,0.19885981,mean
0.24924925,0.19885981,mean
0.25025025,0.30034656,mean
0.25125125,0.30034656,mean
0.25225225,0.30034656,mean
0.25325325,0.30034656,mean
0.25425425,0.30034656,mean
0.25525526,0.30034656,mean
0.25625626,0.30034656,mean
0.25725726,0.30034656,mean
0.25825826,0.30034656,mean
0.25925926,0.30034656,mean
0.26026026,0.30034656,mean
0.26126126,0.30034656,mean
0.26226226,0.30034656,mean
0.26326326,0.30034656,mean
0.26426426,0.30034656,mean
0.26526527,0.30034656,mean
0.26626627,0.30034656,mean
0.26726727,0.30034656,mean
0.26826827,0.30034656,mean
0.26926927,0.30034656,mean
0.27027027,0.30034656,mean
0.27127127,0.30034656,mean
0.27227227,0.30034656,mean
0.27327327,0.30034656,mean
0.27427427,0.30034656,mean
0.27527528,0.30034656,mean
0.27627628,0.30034656,mean
0.27727728,0.30034656,mean
0.27827828,0.30034656,mean
0.27927928,0.30034656,mean
0.28028028,0.30034656,mean
0.28128128,0.30034656,mean
0.28228228,0.30034656,mean
0.28328328,0.30034656,mean
0.28428428,0.30034656,mean
0.28528529,0.30034656,mean
