one.minus.specificity,sensitivity,fold
0.00000000,0.00000000,mean
0.00100100,0.07975548,mean
0.00200200,0.07975548,mean
0.00300300,0.07975548,mean
0.00400400,0.07975548,mean
0.00500501,0.07975548,mean
0.00600601,0.07975548,mean
0.00700701,0.07975548,mean
0.00800801,0.07975548,mean
0.00900901,0.07975548,mean
0.01001001,0.07975548,mean
0.01101101,0.07975548,mean
0.01201201,0.07975548,mean
0.01301301,0.07975548,mean
0.01401401,0.07975548,mean
0.01501502,0.07975548,mean
0.01601602,0.07975548,mean
0.01701702,0.08590932,mean
0.01801802,0.08590932,mean
0.01901902,0.08590932,mean
0.02002002,0.08590932,mean
0.02102102,0.08590932,mean
0.02202202,0.08590932,mean
0.02302302,0.08590932,mean
0.02402402,0.08590932,mean
0.02502503,0.08590932,mean
0.02602603,0.08590932,mean
0.02702703,0.08590932,mean
0.02802803,0.08590932,mean
0.02902903,0.08590932,mean
0.03003003,0.08590932,mean
0.03103103,0.08590932,mean
0.03203203,0.08590932,mean
0.03303303,0.08805986,mean
0.03403403,0.08805986,mean
0.03503504,0.08805986,mean
0.03603604,0.08805986,mean
0.03703704,0.08805986,mean
0.03803804,0.08805986,mean
0.03903904,0.08805986,mean
0.04004004,0.08805986,mean
0.04104104,0.08805986,mean
0.04204204,0.08805986,mean
0.04304304,0.08805986,mean
0.04404404,0.08805986,mean
0.04504505,0.08805986,mean
0.04604605,0.08805986,mean
0.04704705,0.08805986,mean
0.04804805,0.09575217,mean
0.04904905,0.09575217,mean
0.05005005,0.09575217,mean
0.05105105,0.10190601,mean
0.05205205,0.10190601,mean
0.05305305,0.10190601,mean
0.05405405,0.10190601,mean
0.05505506,0.10190601,mean
0.05605606,0.10190601,mean
0.05705706,0.10190601,mean
0.05805806,0.10190601,mean
0.05905906,0.10190601,mean
0.06006006,0.10190601,mean
0.06106106,0.10190601,mean
0.06206206,0.10190601,mean
0.06306306,0.10190601,mean
0.06406406,0.10190601,mean
0.06506507,0.10405655,mean
0.06606607,0.10405655,mean
0.06706707,0.10405655,mean
0.06806807,0.10405655,mean
0.06906907,0.10405655,mean
0.07007007,0.10405655,mean
0.07107107,0.10405655,mean
0.07207207,0.10405655,mean
0.07307307,0.10405655,mean
0.07407407,0.10405655,mean
0.07507508,0.10405655,mean
0.07607608,0.10405655,mean
0.07707708,0.10405655,mean
0.07807808,0.10405655,mean
0.07907908,0.10405655,mean
0.08008008,0.10405655,mean
0.08108108,0.10405655,mean
0.08208208,0.10405655,mean
0.08308308,0.10405655,mean
0.08408408,0.10405655,mean
0.08508509,0.10713347,mean
0.08608609,0.10713347,mean
0.08708709,0.10713347,mean
0.08808809,0.10713347,mean
0.08908909,0.10713347,mean
0.09009009,0.10713347,mean
0.09109109,0.10713347,mean
0.09209209,0.10713347,mean
0.09309309,0.10713347,mean
0.09409409,0.10713347,mean
0.09509510,0.10713347,mean
0.09609610,0.11995399,mean
0.09709710,0.11995399,mean
0.09809810,0.11995399,mean
0.09909910,0.11995399,mean
0.10010010,0.11995399,mean
0.10110110,0.11995399,mean
0.10210210,0.12303091,mean
0.10310310,0.12303091,mean
0.10410410,0.12303091,mean
0.10510511,0.12303091,mean
0.10610611,0.12303091,mean
0.10710711,0.12303091,mean
0.10810811,0.12303091,mean
0.10910911,0.12303091,mean
0.11011011,0.12303091,mean
0.11111111,0.12303091,mean
0.11211211,0.12303091,mean
0.11311311,0.12303091,mean
0.11411411,0.12303091,mean
0.11511512,0.12303091,mean
0.11611612,0.12303091,mean
0.11711712,0.12303091,mean
0.11811812,0.12303091,mean
0.11911912,0.12303091,mean
0.12012012,0.12303091,mean
0.12112112,0.12303091,mean
0.12212212,0.12303091,mean
0.12312312,0.12303091,mean
0.12412412,0.12303091,mean
0.12512513,0.12471158,mean
0.12612613,0.12471158,mean
0.12712713,0.12471158,mean
0.12812813,0.12471158,mean
0.12912913,0.12686212,mean
0.13013013,0.12686212,mean
0.13113113,0.12686212,mean
0.13213213,0.12686212,mean
0.13313313,0.12686212,mean
0.13413413,0.12686212,mean
0.13513514,0.12686212,mean
0.13613614,0.13609289,mean
0.13713714,0.13609289,mean
0.13813814,0.13609289,mean
0.13913914,0.13609289,mean
0.14014014,0.13609289,mean
0.14114114,0.13609289,mean
0.14214214,0.13609289,mean
0.14314314,0.16942622,mean
