Diet.5mo.as.AL,log10relab
20,-1.06364433
20,-1.06446970
1D,-1.06458633
AL,-1.06493784
40,-1.06515280
20,-1.06550230
20,-1.06560881
20,-1.06569337
AL,-1.06669105
40,-1.06671673
40,-1.06691108
2D,-1.06761414
AL,-1.06772424
20,-1.06779163
40,-1.06825895
20,-1.06887435
20,-1.06896127
1D,-1.06942382
AL,-1.06955673
20,-1.06980816
40,-1.06985398
AL,-1.07035605
AL,-1.07061579
AL,-1.07088245
2D,-1.07134729
20,-1.07155574
20,-1.07159624
2D,-1.07162286
20,-1.07199045
AL,-1.07267753
AL,-1.07309934
1D,-1.07349094
20,-1.07356196
2D,-1.07358230
20,-1.07389030
AL,-1.07395677
20,-1.07403346
2D,-1.07428278
40,-1.07504614
2D,-1.07565539
1D,-1.07583425
1D,-1.07609754
40,-1.07658933
AL,-1.07679620
AL,-1.07683876
2D,-1.07725582
2D,-1.07744258
AL,-1.07757371
AL,-1.07776899
20,-1.07810860
AL,-1.07871548
1D,-1.07887529
AL,-1.07979651
AL,-1.08005310
1D,-1.08041004
20,-1.08087462
20,-1.08157587
2D,-1.08223698
20,-1.08238397
1D,-1.08312338
40,-1.08495931
AL,-1.08509832
2D,-1.08529615
AL,-1.08539407
AL,-1.08561547
20,-1.08574664
1D,-1.08620648
40,-1.08649569
AL,-1.08772159
40,-1.08790796
20,-1.08800354
AL,-1.08821780
20,-1.08833644
AL,-1.08868156
20,-1.09055028
40,-1.09077725
40,-1.09142709
2D,-1.09151679
20,-1.09180205
AL,-1.09265553
1D,-1.09402095
20,-1.09419376
1D,-1.09458718
40,-1.09611775
1D,-1.09624277
20,-1.09731960
20,-1.09742498
40,-1.09782080
40,-1.09815698
2D,-1.09839735
AL,-1.09856668
40,-1.09878028
1D,-1.09974241
2D,-1.10020221
AL,-1.10030135
2D,-1.10102031
AL,-1.10148858
20,-1.10255479
AL,-1.10393903
2D,-1.10414769
2D,-1.10455419
AL,-1.10463630
AL,-1.10474117
AL,-1.10497585
2D,-1.10525073
40,-1.10606488
AL,-1.10635214
2D,-1.10670009
AL,-1.10784229
AL,-1.10810540
AL,-1.10874093
40,-1.10984342
AL,-1.11039450
1D,-1.11055136
1D,-1.11083578
1D,-1.11091929
AL,-1.11109105
40,-1.11110197
40,-1.11144761
AL,-1.11205196
2D,-1.11205745
AL,-1.11262173
1D,-1.11320656
AL,-1.11337679
40,-1.11343427
AL,-1.11412941
40,-1.11425393
2D,-1.11501063
40,-1.11510955
AL,-1.11554574
2D,-1.11594953
1D,-1.11671011
AL,-1.11681449
AL,-1.11683196
1D,-1.11695173
2D,-1.11740839
AL,-1.11824138
2D,-1.11863469
AL,-1.11951581
20,-1.12088893
1D,-1.12177098
AL,-1.12189914
2D,-1.12209331
40,-1.12267259
1D,-1.12328358
AL,-1.12354581
1D,-1.12481889
40,-1.12568817
2D,-1.12656222
2D,-1.12808000
AL,-1.12832655
40,-1.12897198
2D,-1.12911454
1D,-1.12935782
20,-1.12959350
20,-1.12976868
40,-1.13018163
40,-1.13146620
2D,-1.13151609
1D,-1.13225527
AL,-1.13226694
1D,-1.13337616
2D,-1.13502664
1D,-1.13508090
40,-1.13552896
AL,-1.13618994
20,-1.13656930
20,-1.13712408
40,-1.13754018
1D,-1.13789082
AL,-1.13830636
20,-1.13835701
20,-1.13860664
AL,-1.13992157
AL,-1.14014669
20,-1.14062486
1D,-1.14067023
1D,-1.14104904
2D,-1.14152506
1D,-1.14254136
2D,-1.14372675
40,-1.14415784
1D,-1.14497863
AL,-1.14592770
2D,-1.14645939
AL,-1.14701499
2D,-1.14785735
20,-1.14826817
20,-1.14827071
1D,-1.14859671
AL,-1.15013058
1D,-1.15038254
40,-1.15087750
1D,-1.15099100
2D,-1.15119088
1D,-1.15139453
20,-1.15159314
2D,-1.15179204
AL,-1.15181105
20,-1.15320008
40,-1.15330268
20,-1.15408879
AL,-1.15416209
AL,-1.15454679
AL,-1.15526625
40,-1.15540335
AL,-1.15568159
20,-1.15708413
AL,-1.15718913
1D,-1.15754592
40,-1.15845958
2D,-1.15865761
AL,-1.15871147
20,-1.15998845
2D,-1.16055191
AL,-1.16207965
1D,-1.16257780
40,-1.16305651
AL,-1.16333603
20,-1.16393358
2D,-1.16433020
20,-1.16475447
2D,-1.16514131
20,-1.16571811
AL,-1.16586087
2D,-1.16591069
2D,-1.16604171
20,-1.16682217
AL,-1.16812066
1D,-1.16849771
2D,-1.16853700
40,-1.16881127
1D,-1.16921701
AL,-1.16936571
1D,-1.16971959
40,-1.17075311
1D,-1.17164916
2D,-1.17176794
20,-1.17179855
AL,-1.17180155
2D,-1.17245994
1D,-1.17264058
40,-1.17362713
AL,-1.17395147
1D,-1.17412833
2D,-1.17431662
40,-1.17477806
2D,-1.17489546
1D,-1.17565728
2D,-1.17573907
AL,-1.17605881
40,-1.17657345
40,-1.17707956
AL,-1.17721638
AL,-1.17726030
2D,-1.17730302
AL,-1.17777204
AL,-1.17821005
AL,-1.17825282
2D,-1.17841702
AL,-1.17850768
AL,-1.17907055
AL,-1.17934665
2D,-1.17962198
2D,-1.17968399
20,-1.17991208
AL,-1.18002187
20,-1.18124706
1D,-1.18132985
20,-1.18159131
2D,-1.18220070
40,-1.18234019
2D,-1.18244929
20,-1.18305213
AL,-1.18402971
2D,-1.18447782
2D,-1.18474144
AL,-1.18509700
1D,-1.18610722
AL,-1.18612480
40,-1.18623518
AL,-1.18691022
1D,-1.18714522
20,-1.18737161
AL,-1.18764631
AL,-1.18772781
20,-1.18782816
40,-1.18790650
1D,-1.18818496
AL,-1.18833752
AL,-1.18871661
1D,-1.18920940
1D,-1.18927098
AL,-1.19000816
1D,-1.19002649
40,-1.19003902
1D,-1.19015078
AL,-1.19037388
2D,-1.19149254
AL,-1.19262766
AL,-1.19293171
1D,-1.19351255
20,-1.19386955
40,-1.19402725
2D,-1.19454412
AL,-1.19483450
40,-1.19509548
1D,-1.19562146
2D,-1.19601651
AL,-1.19652354
AL,-1.19665632
AL,-1.19769270
2D,-1.19782740
40,-1.19891509
2D,-1.19950325
AL,-1.20036060
AL,-1.20052221
1D,-1.20141357
2D,-1.20180782
40,-1.20189842
1D,-1.20290939
2D,-1.20318553
AL,-1.20344780
1D,-1.20520452
40,-1.20567322
2D,-1.20599682
20,-1.20658499
40,-1.20667110
AL,-1.20705594
2D,-1.20742308
2D,-1.20756187
20,-1.20833477
AL,-1.20866831
40,-1.20876619
AL,-1.20903899
AL,-1.21000484
2D,-1.21102874
AL,-1.21150957
40,-1.21182636
40,-1.21217646
20,-1.21260556
20,-1.21296723
AL,-1.21355293
AL,-1.21388023
2D,-1.21395332
AL,-1.21405706
1D,-1.21412474
1D,-1.21436128
1D,-1.21462478
2D,-1.21508080
40,-1.21514284
1D,-1.21573445
40,-1.21575990
20,-1.21639243
20,-1.21768027
20,-1.21865528
40,-1.21981518
20,-1.22056850
AL,-1.22141978
1D,-1.22177283
1D,-1.22240643
AL,-1.22321741
AL,-1.22376121
2D,-1.22381288
AL,-1.22453007
40,-1.22471327
AL,-1.22478521
1D,-1.22492657
AL,-1.22527378
1D,-1.22813219
20,-1.22870360
2D,-1.22902771
2D,-1.22911922
2D,-1.22930734
AL,-1.22965124
2D,-1.23016278
AL,-1.23104727
2D,-1.23114520
AL,-1.23139141
1D,-1.23197274
40,-1.23222774
40,-1.23254388
2D,-1.23259584
2D,-1.23281040
20,-1.23425249
AL,-1.23447930
2D,-1.23485302
2D,-1.23504487
40,-1.23560243
AL,-1.23573301
2D,-1.23573647
2D,-1.23574722
2D,-1.23614358
AL,-1.23635773
1D,-1.23646579
40,-1.23704837
1D,-1.23753646
40,-1.23775104
1D,-1.23878024
40,-1.23993105
1D,-1.23994177
AL,-1.24005768
AL,-1.24125092
20,-1.24199814
2D,-1.24249083
1D,-1.24264599
40,-1.24314720
2D,-1.24465669
2D,-1.24531241
20,-1.24559904
20,-1.24582856
AL,-1.24590948
1D,-1.24611090
40,-1.24654392
1D,-1.24659169
20,-1.24663212
AL,-1.24672263
AL,-1.24719749
20,-1.24732415
2D,-1.24760021
40,-1.24781715
AL,-1.24814771
20,-1.24818739
2D,-1.24829673
2D,-1.24857390
AL,-1.24914592
AL,-1.24928536
AL,-1.25090566
2D,-1.25092026
1D,-1.25133122
AL,-1.25152720
20,-1.25250277
AL,-1.25391773
AL,-1.25408128
AL,-1.25540872
AL,-1.25568502
2D,-1.25619409
AL,-1.25678271
20,-1.25696159
2D,-1.25780513
20,-1.25802788
1D,-1.25837178
2D,-1.25878608
40,-1.25892422
1D,-1.25950923
1D,-1.25994038
40,-1.26044070
AL,-1.26044646
AL,-1.26054119
2D,-1.26054419
AL,-1.26059632
40,-1.26066475
AL,-1.26074252
40,-1.26096777
20,-1.26131075
AL,-1.26140666
40,-1.26178691
1D,-1.26225993
1D,-1.26272423
40,-1.26299459
AL,-1.26307122
AL,-1.26323591
AL,-1.26387103
AL,-1.26485779
1D,-1.26515921
2D,-1.26628277
20,-1.26653694
2D,-1.26676711
AL,-1.26714261
1D,-1.26776571
2D,-1.26777607
40,-1.26791966
2D,-1.26808802
2D,-1.26831978
2D,-1.26857619
AL,-1.26987107
1D,-1.27040593
AL,-1.27047128
40,-1.27139571
2D,-1.27141881
2D,-1.27160703
2D,-1.27165115
1D,-1.27178515
40,-1.27390722
AL,-1.27399294
2D,-1.27445372
2D,-1.27650427
2D,-1.27677564
AL,-1.27697125
1D,-1.27813131
20,-1.27835730
2D,-1.27843795
20,-1.27866325
40,-1.27874147
2D,-1.27899126
20,-1.27917775
20,-1.27959993
40,-1.27983458
20,-1.28020725
2D,-1.28075621
2D,-1.28147149
AL,-1.28176723
2D,-1.28209137
1D,-1.28223705
1D,-1.28416889
20,-1.28451522
1D,-1.28459865
2D,-1.28502983
1D,-1.28504752
2D,-1.28521876
1D,-1.28552012
1D,-1.28595134
2D,-1.28625486
AL,-1.28643486
2D,-1.28781757
2D,-1.28797431
20,-1.28820645
1D,-1.28878452
40,-1.28884471
AL,-1.28983914
AL,-1.28986070
AL,-1.29013048
40,-1.29190513
40,-1.29242703
2D,-1.29283060
AL,-1.29301846
2D,-1.29343119
2D,-1.29415254
AL,-1.29444169
40,-1.29527671
2D,-1.29619777
2D,-1.29646672
2D,-1.29691156
1D,-1.29706965
2D,-1.29961291
1D,-1.29973821
1D,-1.30126698
2D,-1.30152126
AL,-1.30167400
2D,-1.30185087
2D,-1.30207127
AL,-1.30290234
40,-1.30329339
20,-1.30349457
1D,-1.30456369
2D,-1.30457191
20,-1.30499845
2D,-1.30522734
AL,-1.30709310
20,-1.30736446
40,-1.30783338
2D,-1.30814556
2D,-1.30862823
AL,-1.30896716
AL,-1.30942998
40,-1.30973389
AL,-1.30974474
1D,-1.31002644
2D,-1.31008094
2D,-1.31043534
40,-1.31072480
2D,-1.31188033
2D,-1.31230412
AL,-1.31255866
1D,-1.31323911
AL,-1.31423461
20,-1.31454497
2D,-1.31540896
20,-1.31591727
AL,-1.31695216
20,-1.31747863
40,-1.31775330
20,-1.31888151
2D,-1.32009310
1D,-1.32030288
2D,-1.32201158
1D,-1.32226179
2D,-1.32232076
40,-1.32387782
40,-1.32548788
20,-1.32591709
2D,-1.32608516
2D,-1.32631876
AL,-1.32644467
1D,-1.32807457
1D,-1.33039727
2D,-1.33069994
AL,-1.33087556
20,-1.33280262
2D,-1.33283205
40,-1.33358253
2D,-1.33447937
AL,-1.33460470
AL,-1.33468452
AL,-1.33545221
1D,-1.33571357
AL,-1.33593009
40,-1.33596421
2D,-1.33610845
AL,-1.33651270
40,-1.33658188
1D,-1.33712981
2D,-1.33775321
40,-1.33810669
40,-1.33828329
AL,-1.33867677
AL,-1.33900844
AL,-1.33957657
AL,-1.34023341
20,-1.34162983
AL,-1.34167600
AL,-1.34172693
AL,-1.34175696
AL,-1.34230864
2D,-1.34289603
1D,-1.34290903
1D,-1.34306958
AL,-1.34340392
AL,-1.34361805
40,-1.34368883
20,-1.34425056
1D,-1.34460449
AL,-1.34492361
20,-1.34512401
AL,-1.34555747
40,-1.34591156
1D,-1.34693346
2D,-1.34694827
40,-1.34696613
20,-1.34701957
AL,-1.34806603
AL,-1.34808788
AL,-1.34810892
AL,-1.34944839
AL,-1.34969451
AL,-1.35048538
AL,-1.35079561
1D,-1.35126048
2D,-1.35135675
AL,-1.35146921
AL,-1.35165372
AL,-1.35194525
AL,-1.35269938
2D,-1.35302013
40,-1.35330965
2D,-1.35372673
2D,-1.35399543
20,-1.35435294
40,-1.35469062
20,-1.35515297
AL,-1.35521319
AL,-1.35565911
AL,-1.35657077
AL,-1.35782721
AL,-1.35785277
40,-1.35848458
AL,-1.35863513
2D,-1.35884892
AL,-1.35888754
1D,-1.35937292
20,-1.35966576
2D,-1.36023451
1D,-1.36132654
1D,-1.36241562
AL,-1.36299067
AL,-1.36388906
40,-1.36402772
1D,-1.36418369
40,-1.36448213
20,-1.36543439
AL,-1.36560856
AL,-1.36624859
AL,-1.36632942
40,-1.36698969
1D,-1.36745460
AL,-1.36830003
20,-1.36953732
40,-1.36955113
2D,-1.36973844
AL,-1.37105829
AL,-1.37201637
AL,-1.37299838
1D,-1.37380826
AL,-1.37428550
20,-1.37544077
20,-1.37577761
AL,-1.37611218
40,-1.37659160
2D,-1.37700198
1D,-1.37756632
20,-1.37759543
2D,-1.37965047
AL,-1.38013802
40,-1.38042684
40,-1.38058798
AL,-1.38082400
AL,-1.38112591
AL,-1.38120750
40,-1.38147907
1D,-1.38150951
20,-1.38165260
20,-1.38189065
AL,-1.38208650
2D,-1.38241770
20,-1.38423537
1D,-1.38437586
AL,-1.38446296
20,-1.38480395
40,-1.38532020
1D,-1.38587701
40,-1.38685454
40,-1.38730461
40,-1.38730927
20,-1.38844557
1D,-1.38895935
AL,-1.39031791
20,-1.39078212
20,-1.39143479
AL,-1.39184052
1D,-1.39203592
AL,-1.39203619
2D,-1.39217265
2D,-1.39354285
20,-1.39401698
AL,-1.39446351
2D,-1.39518213
20,-1.39564034
2D,-1.39612321
AL,-1.39680024
AL,-1.39788368
AL,-1.39833737
1D,-1.39919259
AL,-1.39944174
AL,-1.40026466
1D,-1.40031567
AL,-1.40037817
1D,-1.40045678
1D,-1.40069521
AL,-1.40081999
AL,-1.40105977
20,-1.40123064
20,-1.40140457
AL,-1.40209899
AL,-1.40255884
AL,-1.40260891
40,-1.40336739
AL,-1.40377347
20,-1.40382154
20,-1.40444302
AL,-1.40628838
40,-1.40708600
20,-1.40859536
2D,-1.40860153
2D,-1.40890792
2D,-1.40921121
AL,-1.40929897
40,-1.40971823
AL,-1.40981871
40,-1.41020868
2D,-1.41061319
AL,-1.41098460
AL,-1.41112438
20,-1.41198599
AL,-1.41206663
AL,-1.41439782
AL,-1.41442242
20,-1.41490422
AL,-1.41525189
1D,-1.41600323
2D,-1.41650325
2D,-1.41712630
2D,-1.41767802
2D,-1.41772926
40,-1.41851022
2D,-1.41865593
AL,-1.41910670
20,-1.41933152
1D,-1.41933401
1D,-1.41980073
2D,-1.42064201
40,-1.42090842
AL,-1.42240735
20,-1.42252881
2D,-1.42254059
2D,-1.42276546
AL,-1.42288773
40,-1.42289533
AL,-1.42291989
20,-1.42302608
1D,-1.42360014
AL,-1.42401767
AL,-1.42411989
AL,-1.42427788
40,-1.42435973
2D,-1.42707112
AL,-1.42867810
1D,-1.42913299
2D,-1.42930039
20,-1.42952709
40,-1.42954240
20,-1.43039468
AL,-1.43048307
40,-1.43050392
AL,-1.43075711
AL,-1.43132984
2D,-1.43185346
20,-1.43305161
40,-1.43327512
1D,-1.43371897
40,-1.43388383
20,-1.43471758
AL,-1.43497800
AL,-1.43507496
20,-1.43555371
2D,-1.43680793
20,-1.43722907
20,-1.43740070
AL,-1.43747687
2D,-1.43772680
2D,-1.43781545
2D,-1.43866200
AL,-1.43929386
1D,-1.44031139
AL,-1.44035779
2D,-1.44068137
2D,-1.44084036
40,-1.44321299
2D,-1.44331020
2D,-1.44342161
AL,-1.44356671
2D,-1.44358299
AL,-1.44549425
AL,-1.44625306
AL,-1.44690714
1D,-1.44731893
AL,-1.44745366
AL,-1.44809561
1D,-1.44961963
1D,-1.45174034
AL,-1.45270929
2D,-1.45298257
2D,-1.45416797
AL,-1.45441907
AL,-1.45471633
2D,-1.45532350
AL,-1.45583301
1D,-1.45604380
AL,-1.45633409
AL,-1.45643520
AL,-1.45725678
2D,-1.45759139
AL,-1.45765963
AL,-1.45783062
40,-1.45789268
1D,-1.45811063
40,-1.45897636
2D,-1.45921069
AL,-1.45936103
40,-1.45954168
AL,-1.46013383
AL,-1.46084616
AL,-1.46086591
20,-1.46355783
20,-1.46360331
AL,-1.46379478
2D,-1.46397674
2D,-1.46401874
AL,-1.46438417
1D,-1.46521969
AL,-1.46550588
2D,-1.46639595
AL,-1.46679624
20,-1.46695130
AL,-1.46723716
AL,-1.46748653
AL,-1.46769161
1D,-1.46783732
AL,-1.46823598
20,-1.46854261
AL,-1.47148040
1D,-1.47232741
1D,-1.47303325
AL,-1.47321853
2D,-1.47376313
AL,-1.47391936
2D,-1.47500794
1D,-1.47519805
AL,-1.47655823
40,-1.47702789
AL,-1.47735645
AL,-1.47816054
2D,-1.47825852
AL,-1.47982737
AL,-1.48140707
20,-1.48170674
2D,-1.48176319
20,-1.48269613
AL,-1.48298769
1D,-1.48368562
AL,-1.48381508
1D,-1.48408238
20,-1.48443499
2D,-1.48613067
20,-1.48630897
40,-1.48812211
2D,-1.48882087
40,-1.49003444
AL,-1.49018311
2D,-1.49019667
1D,-1.49046896
AL,-1.49062194
AL,-1.49104318
1D,-1.49106278
AL,-1.49123946
AL,-1.49135579
1D,-1.49153069
AL,-1.49185301
40,-1.49189735
1D,-1.49192212
AL,-1.49289499
2D,-1.49412808
AL,-1.49429778
2D,-1.49430712
2D,-1.49463659
AL,-1.49512413
1D,-1.49543603
AL,-1.49572001
2D,-1.49855142
AL,-1.49896526
AL,-1.49942914
2D,-1.50066392
1D,-1.50071585
1D,-1.50103925
40,-1.50121589
AL,-1.50122326
2D,-1.50125958
20,-1.50129329
40,-1.50372840
AL,-1.50379212
2D,-1.50400542
2D,-1.50497668
2D,-1.50547520
AL,-1.50602552
AL,-1.50642337
AL,-1.50690447
AL,-1.50763773
2D,-1.50773415
2D,-1.50794987
2D,-1.50931551
AL,-1.51001503
1D,-1.51058225
2D,-1.51123279
20,-1.51186762
20,-1.51209470
2D,-1.51210957
2D,-1.51218323
AL,-1.51218632
AL,-1.51338068
2D,-1.51362396
AL,-1.51380233
AL,-1.51410493
40,-1.51515956
20,-1.51554876
1D,-1.51609149
2D,-1.51641537
20,-1.51780453
20,-1.51798038
2D,-1.51825803
20,-1.51913287
2D,-1.51925920
AL,-1.51940213
1D,-1.51973429
40,-1.52009252
2D,-1.52031449
2D,-1.52060387
20,-1.52147821
2D,-1.52250498
1D,-1.52303459
20,-1.52352824
AL,-1.52446184
2D,-1.52446831
40,-1.52623754
AL,-1.52635050
1D,-1.52683333
20,-1.52691934
1D,-1.52693865
1D,-1.52981530
AL,-1.52997431
1D,-1.53106939
2D,-1.53114357
2D,-1.53143080
1D,-1.53196180
1D,-1.53240295
AL,-1.53326906
20,-1.53329937
AL,-1.53392822
AL,-1.53394030
20,-1.53439453
2D,-1.53566681
1D,-1.53600067
2D,-1.53650943
AL,-1.53712338
20,-1.53744084
AL,-1.53835335
40,-1.54126103
20,-1.54136359
AL,-1.54183989
2D,-1.54239765
AL,-1.54330348
20,-1.54388372
AL,-1.54404932
1D,-1.54407631
AL,-1.54451162
AL,-1.54514895
2D,-1.54517440
AL,-1.54560096
AL,-1.54561840
2D,-1.54572868
1D,-1.54606946
2D,-1.54620202
1D,-1.54692942
20,-1.54779586
2D,-1.54797159
1D,-1.55044149
2D,-1.55094428
2D,-1.55188865
1D,-1.55216620
20,-1.55403443
2D,-1.55405754
AL,-1.55458594
40,-1.55526038
AL,-1.55804511
AL,-1.55859969
1D,-1.55954676
1D,-1.55955387
2D,-1.55977612
2D,-1.55987462
20,-1.56041401
40,-1.56175016
20,-1.56247477
2D,-1.56258265
1D,-1.56288300
40,-1.56390905
40,-1.56478398
2D,-1.56510651
2D,-1.56592247
1D,-1.56594567
AL,-1.56680563
20,-1.56685691
40,-1.56723214
40,-1.56745476
1D,-1.56823800
20,-1.56956314
20,-1.57004672
AL,-1.57129687
1D,-1.57202768
20,-1.57262162
2D,-1.57357402
AL,-1.57427685
1D,-1.57435417
AL,-1.57676301
AL,-1.57729512
AL,-1.57836690
AL,-1.57893119
2D,-1.57904902
40,-1.57906774
AL,-1.57943625
AL,-1.57954832
1D,-1.57980597
2D,-1.58057398
2D,-1.58061665
AL,-1.58106372
AL,-1.58174400
2D,-1.58210798
AL,-1.58227293
AL,-1.58252181
AL,-1.58374424
AL,-1.58378398
2D,-1.58444581
20,-1.58455246
2D,-1.58552558
AL,-1.58564328
20,-1.58576448
AL,-1.58643062
2D,-1.58699264
2D,-1.58778275
2D,-1.58783839
2D,-1.58864488
AL,-1.58875989
20,-1.58992153
20,-1.59153302
20,-1.59244547
2D,-1.59294204
2D,-1.59462963
AL,-1.59508641
1D,-1.59559937
20,-1.59607366
AL,-1.59620985
2D,-1.59691359
AL,-1.59771648
2D,-1.60099928
1D,-1.60286103
20,-1.60333470
40,-1.60349186
1D,-1.60414067
2D,-1.60527936
1D,-1.60603296
40,-1.60603788
20,-1.60619779
20,-1.60664091
2D,-1.60801021
2D,-1.61037483
20,-1.61074365
AL,-1.61126157
AL,-1.61202090
AL,-1.61227817
40,-1.61402703
20,-1.61446014
AL,-1.61472160
1D,-1.61523643
2D,-1.61546040
1D,-1.61549454
AL,-1.61640528
AL,-1.61741901
2D,-1.61871539
1D,-1.61890802
20,-1.61925304
40,-1.61935440
AL,-1.61986646
AL,-1.62044580
1D,-1.62050881
2D,-1.62060150
AL,-1.62121078
AL,-1.62341012
1D,-1.62352333
2D,-1.62454528
2D,-1.62520337
40,-1.62527841
40,-1.62536959
1D,-1.62563746
AL,-1.62597843
AL,-1.62623489
20,-1.62659519
AL,-1.62690017
20,-1.62721678
20,-1.62778353
2D,-1.62812068
20,-1.62831034
20,-1.62901285
AL,-1.63038628
2D,-1.63112053
20,-1.63145878
AL,-1.63321188
40,-1.63334812
40,-1.63344042
AL,-1.63356978
1D,-1.63370345
2D,-1.63403480
AL,-1.63635983
1D,-1.63647823
1D,-1.63694022
1D,-1.63769561
AL,-1.64055430
20,-1.64223079
40,-1.64534599
40,-1.64556133
AL,-1.64631082
1D,-1.64671037
2D,-1.64820010
AL,-1.65003949
AL,-1.65134960
2D,-1.65154523
AL,-1.65179273
1D,-1.65180036
AL,-1.65274469
20,-1.65329702
AL,-1.65368369
2D,-1.65379125
2D,-1.65479237
AL,-1.65546941
40,-1.65627289
40,-1.65745301
AL,-1.65811352
AL,-1.66121980
AL,-1.66134609
AL,-1.66152116
AL,-1.66324735
1D,-1.66387575
AL,-1.66505471
2D,-1.66588185
2D,-1.66589198
AL,-1.66627577
1D,-1.66671185
1D,-1.66705957
2D,-1.66712470
1D,-1.66740541
2D,-1.66777203
1D,-1.66790678
AL,-1.66877194
AL,-1.66933304
2D,-1.66947927
AL,-1.67014752
2D,-1.67032551
AL,-1.67091461
1D,-1.67111239
20,-1.67117651
1D,-1.67359226
40,-1.67491164
AL,-1.67536501
1D,-1.67606085
AL,-1.67622158
AL,-1.67762508
2D,-1.67991404
AL,-1.68076212
2D,-1.68085420
1D,-1.68101769
AL,-1.68269886
AL,-1.68372810
AL,-1.68440960
1D,-1.68552218
AL,-1.68778096
20,-1.68933602
AL,-1.68933947
1D,-1.69059450
40,-1.69078740
AL,-1.69134518
2D,-1.69142109
1D,-1.69183979
20,-1.69341278
AL,-1.69391303
2D,-1.69395258
2D,-1.69539074
AL,-1.69743058
AL,-1.69829022
2D,-1.69850952
2D,-1.69932061
AL,-1.69999267
2D,-1.70013822
40,-1.70114501
AL,-1.70138165
20,-1.70200928
AL,-1.70334378
2D,-1.70375256
1D,-1.70379410
AL,-1.70390014
40,-1.70575983
AL,-1.70597155
AL,-1.70611164
2D,-1.70621775
20,-1.70644841
1D,-1.70856988
AL,-1.70919424
AL,-1.70951824
1D,-1.70986434
1D,-1.71001727
AL,-1.71089879
AL,-1.71217628
AL,-1.71289774
1D,-1.71472562
AL,-1.71494127
AL,-1.71581509
AL,-1.71622266
20,-1.71740793
AL,-1.71812645
2D,-1.71834863
1D,-1.71898391
AL,-1.71993990
20,-1.72016284
1D,-1.72088803
AL,-1.72565007
AL,-1.72604773
20,-1.72612162
20,-1.72612741
1D,-1.72616703
1D,-1.72665004
2D,-1.72786702
1D,-1.72886402
1D,-1.72936629
AL,-1.73082616
1D,-1.73155298
1D,-1.73181787
1D,-1.73304118
AL,-1.73394324
40,-1.73500208
AL,-1.73563518
2D,-1.73653633
2D,-1.73773452
2D,-1.73965907
AL,-1.73972237
AL,-1.73996946
2D,-1.74111416
AL,-1.74167586
AL,-1.74224649
2D,-1.74275975
20,-1.74583348
AL,-1.74781887
2D,-1.74913557
2D,-1.74998645
1D,-1.75130523
1D,-1.75369455
1D,-1.75610003
AL,-1.75655051
AL,-1.75730766
AL,-1.75835268
2D,-1.75868550
AL,-1.75945630
AL,-1.76094317
1D,-1.76185624
AL,-1.76371652
2D,-1.76496000
AL,-1.76505706
AL,-1.76621369
AL,-1.76754289
1D,-1.77111943
2D,-1.77145288
20,-1.77326333
20,-1.77499485
1D,-1.77532886
AL,-1.77550412
20,-1.77929670
2D,-1.77956568
AL,-1.78035443
2D,-1.78122561
20,-1.78232671
2D,-1.78399588
2D,-1.78438440
AL,-1.78443654
AL,-1.78519833
1D,-1.78633358
2D,-1.78642966
1D,-1.78662329
AL,-1.78733556
AL,-1.78773692
1D,-1.78799895
1D,-1.78820855
1D,-1.78853170
AL,-1.78890867
AL,-1.79047360
1D,-1.79135200
20,-1.79135560
AL,-1.79137857
AL,-1.79170416
2D,-1.79429646
1D,-1.79480460
1D,-1.79576968
AL,-1.79660424
1D,-1.79732814
1D,-1.79756926
2D,-1.79782445
40,-1.79788335
AL,-1.79805592
1D,-1.79809591
AL,-1.79926128
2D,-1.80366714
AL,-1.80460241
2D,-1.80643462
20,-1.80686262
AL,-1.80710533
20,-1.80972137
AL,-1.80984214
AL,-1.81151640
AL,-1.81334818
AL,-1.81382855
20,-1.81542914
20,-1.81605112
1D,-1.81684762
40,-1.81852662
AL,-1.82041100
40,-1.82211323
40,-1.82291911
AL,-1.82582506
AL,-1.82614171
AL,-1.82720691
2D,-1.83153494
20,-1.83601766
2D,-1.83950536
20,-1.83992006
AL,-1.84112044
2D,-1.84230346
AL,-1.84649654
AL,-1.84821576
1D,-1.84932583
AL,-1.84946810
AL,-1.85189404
2D,-1.85525801
2D,-1.85538504
AL,-1.85564159
40,-1.85796353
1D,-1.85849225
AL,-1.85867171
2D,-1.85942107
2D,-1.85980221
AL,-1.86412988
2D,-1.86417014
AL,-1.86537502
AL,-1.86600323
1D,-1.86887113
AL,-1.86933179
AL,-1.87349409
1D,-1.87405213
1D,-1.87461794
AL,-1.87738990
AL,-1.87744166
2D,-1.88059391
20,-1.88211116
20,-1.88284805
2D,-1.88341599
20,-1.88577440
1D,-1.88957597
2D,-1.89025667
AL,-1.89043817
2D,-1.89200622
2D,-1.89202660
1D,-1.90000049
AL,-1.90126231
1D,-1.90128934
2D,-1.90251787
2D,-1.90392347
1D,-1.90666823
AL,-1.90718587
AL,-1.90932868
1D,-1.91238633
2D,-1.91313633
40,-1.91621255
2D,-1.91656225
2D,-1.91752550
1D,-1.91819181
AL,-1.92431937
20,-1.92791938
AL,-1.93199161
AL,-1.93239368
AL,-1.93533425
AL,-1.93636634
2D,-1.93856895
AL,-1.93928199
