Diet.5mo.as.AL,log10relab
AL,-0.57237921
40,-0.57245327
AL,-0.57413556
20,-0.57558988
40,-0.57579677
2D,-0.57694958
40,-0.57695799
20,-0.57743109
AL,-0.57778049
1D,-0.57866074
20,-0.57917013
2D,-0.57963180
1D,-0.57967300
AL,-0.57974496
AL,-0.57995263
AL,-0.58036985
20,-0.58086548
1D,-0.58101552
AL,-0.58159104
1D,-0.58175550
1D,-0.58175709
40,-0.58195602
AL,-0.58269844
AL,-0.58396815
AL,-0.58465717
20,-0.58530738
20,-0.58609160
40,-0.58610103
AL,-0.58632218
40,-0.58641238
AL,-0.58661328
AL,-0.58725928
20,-0.58849678
AL,-0.58917206
20,-0.58940659
AL,-0.58951163
AL,-0.58978313
40,-0.59026995
20,-0.59116222
AL,-0.59213371
AL,-0.59274405
1D,-0.59317568
1D,-0.59422893
40,-0.59439898
AL,-0.59460634
40,-0.59524567
AL,-0.59532088
40,-0.59603592
AL,-0.59637173
AL,-0.59922528
AL,-0.59945653
40,-0.60031856
20,-0.60040201
2D,-0.60066353
2D,-0.60213283
40,-0.60236305
20,-0.60269244
20,-0.60293034
40,-0.60326668
AL,-0.60404637
AL,-0.60605139
40,-0.60701325
40,-0.60751478
40,-0.60812031
AL,-0.60837901
20,-0.60895013
40,-0.60928534
1D,-0.60970581
20,-0.61182402
40,-0.61255500
AL,-0.61323742
2D,-0.61402315
2D,-0.61466416
20,-0.61562275
40,-0.61563738
40,-0.61573770
AL,-0.61722461
1D,-0.61829547
20,-0.61884025
1D,-0.61892463
AL,-0.62029180
AL,-0.62220530
AL,-0.62230365
40,-0.62230724
AL,-0.62272246
40,-0.62278093
40,-0.62312459
20,-0.62329913
20,-0.62346978
40,-0.62373922
20,-0.62387861
1D,-0.62413334
1D,-0.62444614
AL,-0.62444641
20,-0.62446169
AL,-0.62535393
AL,-0.62622466
20,-0.62629111
40,-0.62738651
20,-0.62763255
AL,-0.62869157
AL,-0.62873077
AL,-0.63039807
AL,-0.63041280
20,-0.63043931
AL,-0.63052507
40,-0.63124809
1D,-0.63151350
AL,-0.63398184
AL,-0.63483592
AL,-0.63565784
1D,-0.63595398
AL,-0.63608763
40,-0.63619641
20,-0.63678544
40,-0.63690450
40,-0.63710428
1D,-0.63793864
2D,-0.63883814
2D,-0.63922673
1D,-0.63937896
2D,-0.63952361
2D,-0.63966318
20,-0.63976083
AL,-0.64015918
AL,-0.64216048
40,-0.64247536
AL,-0.64271966
2D,-0.64333685
AL,-0.64372024
2D,-0.64430342
40,-0.64476320
AL,-0.64545367
2D,-0.64563846
20,-0.64568376
20,-0.64645645
40,-0.64748889
AL,-0.64986412
AL,-0.65021587
1D,-0.65027995
