Diet.5mo.as.AL,log10relab
1D,-0.69509952
1D,-0.69562904
AL,-0.69615951
AL,-0.69624882
2D,-0.69643681
AL,-0.69651990
1D,-0.69760333
AL,-0.69810858
40,-0.69820417
20,-0.69826524
2D,-0.69829814
1D,-0.69861165
20,-0.69864763
20,-0.69899154
1D,-0.69915871
AL,-0.70160724
20,-0.70177832
1D,-0.70361496
AL,-0.70391698
AL,-0.70411797
2D,-0.70449478
AL,-0.70477926
AL,-0.70573269
AL,-0.70585649
AL,-0.70588125
2D,-0.70744115
2D,-0.70768599
AL,-0.70809069
AL,-0.70815192
AL,-0.70836049
2D,-0.70922576
AL,-0.70968392
AL,-0.71034460
40,-0.71050961
1D,-0.71060945
20,-0.71127325
2D,-0.71183745
AL,-0.71233915
1D,-0.71269301
AL,-0.71276500
AL,-0.71315223
AL,-0.71347606
2D,-0.71377635
2D,-0.71377735
2D,-0.71407080
2D,-0.71438447
2D,-0.71449711
2D,-0.71513391
40,-0.71593519
20,-0.71606138
1D,-0.71730254
1D,-0.71771640
1D,-0.71806181
2D,-0.71831784
AL,-0.71871889
AL,-0.71873059
AL,-0.71889858
2D,-0.71929519
AL,-0.71941366
AL,-0.71944600
AL,-0.71948124
20,-0.72051673
2D,-0.72182244
2D,-0.72254340
AL,-0.72290091
AL,-0.72293995
1D,-0.72301928
AL,-0.72312454
20,-0.72347046
AL,-0.72380060
1D,-0.72455993
20,-0.72457773
20,-0.72458415
AL,-0.72509326
1D,-0.72537797
20,-0.72557214
AL,-0.72563625
2D,-0.72568498
1D,-0.72614456
1D,-0.72633867
AL,-0.72779542
AL,-0.72822972
20,-0.72843056
40,-0.72844991
40,-0.72952362
AL,-0.72974277
AL,-0.72993272
1D,-0.73058533
AL,-0.73068871
AL,-0.73137340
1D,-0.73203533
2D,-0.73206255
40,-0.73214730
AL,-0.73356243
AL,-0.73393417
20,-0.73414265
AL,-0.73462806
40,-0.73490921
1D,-0.73500886
1D,-0.73583051
AL,-0.73588237
20,-0.73625907
AL,-0.73642487
AL,-0.73677563
20,-0.73780165
AL,-0.73810304
1D,-0.73818354
1D,-0.73842806
AL,-0.73873550
2D,-0.73943579
1D,-0.74015476
AL,-0.74040832
1D,-0.74050968
40,-0.74074129
40,-0.74077171
40,-0.74122153
AL,-0.74166166
AL,-0.74188828
AL,-0.74212793
AL,-0.74232135
AL,-0.74252760
2D,-0.74274128
AL,-0.74286660
2D,-0.74310506
AL,-0.74335070
AL,-0.74423414
2D,-0.74424566
AL,-0.74446554
1D,-0.74555952
20,-0.74567415
40,-0.74605957
1D,-0.74626719
2D,-0.74667435
AL,-0.74699180
AL,-0.74719120
2D,-0.74856126
1D,-0.74925459
AL,-0.74984725
40,-0.75002194
20,-0.75005030
AL,-0.75058256
1D,-0.75124704
AL,-0.75177455
20,-0.75178490
AL,-0.75184050
20,-0.75253648
40,-0.75266567
2D,-0.75272788
2D,-0.75380851
2D,-0.75418349
20,-0.75436703
AL,-0.75441646
1D,-0.75581384
2D,-0.75626922
AL,-0.75648627
20,-0.75649974
1D,-0.75695951
1D,-0.75728219
40,-0.75787951
AL,-0.75805112
20,-0.75867220
2D,-0.75878550
AL,-0.75907702
AL,-0.75915975
AL,-0.76008713
20,-0.76053489
AL,-0.76062914
AL,-0.76103609
2D,-0.76123812
2D,-0.76132639
AL,-0.76141241
AL,-0.76196914
AL,-0.76232345
20,-0.76246581
2D,-0.76349938
AL,-0.76395008
AL,-0.76465556
AL,-0.76531691
AL,-0.76555629
AL,-0.76561601
20,-0.76578262
1D,-0.76587139
20,-0.76682746
AL,-0.76695458
40,-0.76711732
2D,-0.76714326
AL,-0.76822697
1D,-0.76843913
AL,-0.76881464
AL,-0.76942807
1D,-0.76973434
20,-0.77006689
AL,-0.77011432
2D,-0.77054175
AL,-0.77087002
40,-0.77100898
AL,-0.77155870
AL,-0.77195418
AL,-0.77237443
20,-0.77257268
AL,-0.77301284
AL,-0.77305717
AL,-0.77473603
AL,-0.77474154
AL,-0.77488863
40,-0.77492500
2D,-0.77494640
AL,-0.77506104
AL,-0.77641787
AL,-0.77710141
AL,-0.77746217
AL,-0.77771911
AL,-0.77841507
AL,-0.77858015
1D,-0.77859246
2D,-0.77875572
20,-0.77884312
AL,-0.77890263
AL,-0.77899291
AL,-0.77913107
20,-0.77913748
AL,-0.77949766
2D,-0.78005082
20,-0.78064272
20,-0.78095640
1D,-0.78157839
2D,-0.78327752
40,-0.78343401
20,-0.78384609
1D,-0.78413071
2D,-0.78494432
AL,-0.78575131
40,-0.78619814
AL,-0.78622766
1D,-0.78684476
1D,-0.78842661
40,-0.78844049
20,-0.78854802
AL,-0.78858746
20,-0.78861418
AL,-0.78882431
AL,-0.78906976
AL,-0.78985258
1D,-0.79043789
1D,-0.79048208
40,-0.79095959
1D,-0.79108243
AL,-0.79128623
20,-0.79145992
40,-0.79196706
1D,-0.79235947
20,-0.79243617
20,-0.79270242
40,-0.79285412
20,-0.79301382
2D,-0.79343091
1D,-0.79359286
2D,-0.79395160
1D,-0.79418564
AL,-0.79513938
1D,-0.79521409
20,-0.79637696
1D,-0.79665655
AL,-0.79700244
20,-0.79745194
1D,-0.79752433
AL,-0.79769347
AL,-0.79800935
AL,-0.79802303
20,-0.79833295
AL,-0.79846090
20,-0.79857848
20,-0.79870626
AL,-0.79901524
AL,-0.79962285
20,-0.79988013
AL,-0.79994451
AL,-0.80033883
AL,-0.80075053
20,-0.80080981
20,-0.80202812
20,-0.80227403
20,-0.80280139
20,-0.80294895
AL,-0.80297560
AL,-0.80302971
20,-0.80305792
2D,-0.80324056
1D,-0.80382410
AL,-0.80439961
40,-0.80457201
AL,-0.80484764
20,-0.80573694
20,-0.80686131
AL,-0.80781525
AL,-0.80861148
2D,-0.80866764
20,-0.80881874
40,-0.80928881
40,-0.80973862
20,-0.81032779
20,-0.81080203
AL,-0.81089726
AL,-0.81095299
20,-0.81114108
AL,-0.81133955
1D,-0.81184095
AL,-0.81215412
AL,-0.81235086
AL,-0.81257493
AL,-0.81337602
2D,-0.81386571
2D,-0.81394277
AL,-0.81398000
20,-0.81398178
40,-0.81419310
2D,-0.81420680
2D,-0.81505454
1D,-0.81535948
2D,-0.81560271
AL,-0.81669475
AL,-0.81670701
20,-0.81805238
AL,-0.81848432
AL,-0.81856841
AL,-0.81862959
40,-0.81877186
40,-0.81931081
1D,-0.81986374
20,-0.82043213
2D,-0.82058368
1D,-0.82075986
1D,-0.82186463
AL,-0.82315113
2D,-0.82403012
20,-0.82409028
40,-0.82437425
AL,-0.82448908
20,-0.82500666
20,-0.82539248
AL,-0.82563328
AL,-0.82627071
40,-0.82647143
2D,-0.82671665
1D,-0.82711709
1D,-0.82771183
40,-0.82775948
AL,-0.82782433
20,-0.82887754
1D,-0.82908870
20,-0.82930204
20,-0.82930486
2D,-0.82931129
2D,-0.82958324
2D,-0.82961990
40,-0.82989304
AL,-0.82991823
1D,-0.83022616
2D,-0.83050296
AL,-0.83098128
20,-0.83193619
AL,-0.83209820
40,-0.83323946
40,-0.83401532
AL,-0.83406925
20,-0.83409123
2D,-0.83534770
AL,-0.83591526
AL,-0.83673138
1D,-0.83715521
1D,-0.83741422
2D,-0.83749953
1D,-0.83789804
AL,-0.83829998
1D,-0.83877479
AL,-0.83931267
AL,-0.83963840
2D,-0.84037125
1D,-0.84206352
AL,-0.84337467
1D,-0.84349453
40,-0.84352515
AL,-0.84360499
1D,-0.84365662
AL,-0.84383202
AL,-0.84384135
2D,-0.84437052
AL,-0.84458148
20,-0.84528557
AL,-0.84551539
AL,-0.84629599
40,-0.84641902
20,-0.84674716
1D,-0.84710497
AL,-0.84882944
20,-0.84893944
2D,-0.84929216
AL,-0.85021228
AL,-0.85023742
40,-0.85036443
2D,-0.85094787
AL,-0.85100620
1D,-0.85119191
1D,-0.85199850
40,-0.85217682
AL,-0.85324472
20,-0.85395856
2D,-0.85435539
20,-0.85498198
AL,-0.85506048
AL,-0.85563442
AL,-0.85646731
1D,-0.85711711
2D,-0.85715395
40,-0.85730271
2D,-0.85931008
2D,-0.85945749
AL,-0.85954787
AL,-0.85967760
AL,-0.86029086
20,-0.86049952
AL,-0.86063029
20,-0.86068679
2D,-0.86126411
AL,-0.86129607
AL,-0.86185908
1D,-0.86191459
AL,-0.86191546
1D,-0.86198639
20,-0.86283933
AL,-0.86301700
AL,-0.86329050
40,-0.86330496
AL,-0.86357146
AL,-0.86431008
2D,-0.86468126
40,-0.86503485
AL,-0.86511786
2D,-0.86541006
2D,-0.86677974
AL,-0.86732387
AL,-0.86734157
20,-0.86742233
20,-0.86792509
1D,-0.86812340
20,-0.86894722
AL,-0.86944354
1D,-0.86951593
40,-0.87006155
AL,-0.87083041
AL,-0.87118497
40,-0.87121029
40,-0.87215314
2D,-0.87280604
1D,-0.87282363
AL,-0.87289535
AL,-0.87369462
AL,-0.87392306
40,-0.87507205
20,-0.87513665
2D,-0.87517099
40,-0.87630920
1D,-0.87733212
AL,-0.87831998
2D,-0.87834749
20,-0.87901682
1D,-0.87971248
AL,-0.87976289
1D,-0.88018398
1D,-0.88166888
40,-0.88241889
1D,-0.88269952
20,-0.88309298
40,-0.88320090
2D,-0.88369836
AL,-0.88380115
2D,-0.88427702
AL,-0.88430114
AL,-0.88590977
1D,-0.88872939
AL,-0.89020717
AL,-0.89069214
1D,-0.89072980
1D,-0.89140794
40,-0.89156596
2D,-0.89283186
AL,-0.89316445
20,-0.89322259
20,-0.89331076
AL,-0.89340921
2D,-0.89391116
40,-0.89502257
40,-0.89510980
AL,-0.89570488
AL,-0.89595784
2D,-0.89610805
AL,-0.89661199
AL,-0.89789996
AL,-0.89864421
AL,-0.89909125
40,-0.89965260
40,-0.90014903
40,-0.90043013
40,-0.90063907
AL,-0.90094612
AL,-0.90102334
1D,-0.90106954
AL,-0.90187659
40,-0.90188808
AL,-0.90194050
AL,-0.90203963
AL,-0.90213764
AL,-0.90231961
20,-0.90255301
20,-0.90345695
20,-0.90394667
2D,-0.90397403
AL,-0.90398309
AL,-0.90429312
40,-0.90509348
40,-0.90606943
20,-0.90634483
40,-0.90701239
AL,-0.90852879
20,-0.90978040
40,-0.91148780
20,-0.91160073
40,-0.91198381
40,-0.91224390
AL,-0.91263713
AL,-0.91295805
20,-0.91351439
AL,-0.91382861
20,-0.91531906
2D,-0.91540300
AL,-0.91566941
AL,-0.91605677
40,-0.91619250
20,-0.91622237
1D,-0.91625261
AL,-0.91671245
1D,-0.91746453
AL,-0.91774626
2D,-0.91775884
20,-0.91818404
2D,-0.91829175
AL,-0.91849057
AL,-0.91910473
AL,-0.92140871
20,-0.92152348
2D,-0.92159379
1D,-0.92162722
AL,-0.92220361
AL,-0.92291527
AL,-0.92313260
AL,-0.92349833
1D,-0.92401265
1D,-0.92405047
20,-0.92433412
AL,-0.92456059
2D,-0.92465439
AL,-0.92476908
20,-0.92569417
20,-0.92609689
2D,-0.92619471
AL,-0.92689485
AL,-0.92730680
2D,-0.92779531
20,-0.92783017
1D,-0.92791252
20,-0.92808800
20,-0.92838037
20,-0.92840389
AL,-0.92844466
20,-0.92899346
AL,-0.92998588
1D,-0.93002216
20,-0.93052928
AL,-0.93089842
1D,-0.93099827
20,-0.93136552
40,-0.93145179
AL,-0.93208145
AL,-0.93215554
1D,-0.93234222
AL,-0.93279803
AL,-0.93415198
2D,-0.93434384
AL,-0.93508418
1D,-0.93553994
AL,-0.93594836
40,-0.93633012
40,-0.93649113
AL,-0.93650525
40,-0.93681033
40,-0.93790042
40,-0.93790456
AL,-0.93886399
AL,-0.93893113
AL,-0.93908079
AL,-0.93975370
AL,-0.93983919
20,-0.93993418
1D,-0.94010520
AL,-0.94019316
20,-0.94045847
40,-0.94075004
AL,-0.94115632
40,-0.94125987
40,-0.94169734
20,-0.94189646
2D,-0.94238122
20,-0.94270691
AL,-0.94417059
40,-0.94433613
2D,-0.94445520
40,-0.94548046
20,-0.94561391
AL,-0.94595105
1D,-0.94602760
AL,-0.94621884
20,-0.94671333
20,-0.94706115
40,-0.94709191
40,-0.94713970
1D,-0.94765211
20,-0.94821280
20,-0.94849575
20,-0.94892823
AL,-0.94901632
AL,-0.94930839
AL,-0.94942997
1D,-0.94950066
AL,-0.94953641
AL,-0.94963571
40,-0.95006820
20,-0.95026015
AL,-0.95068308
1D,-0.95116279
40,-0.95166297
20,-0.95201931
AL,-0.95225146
1D,-0.95348520
AL,-0.95378049
2D,-0.95439336
AL,-0.95462517
AL,-0.95487137
2D,-0.95520558
AL,-0.95539197
40,-0.95567911
20,-0.95625369
40,-0.95648090
AL,-0.95680878
20,-0.95769188
AL,-0.95794538
20,-0.95808962
40,-0.95904613
AL,-0.96025263
1D,-0.96053794
AL,-0.96181821
20,-0.96188325
20,-0.96273112
AL,-0.96298385
20,-0.96334019
AL,-0.96349062
20,-0.96413112
1D,-0.96419977
20,-0.96562875
40,-0.96580308
AL,-0.96741298
AL,-0.96877336
20,-0.96926652
20,-0.96940910
AL,-0.96998041
2D,-0.97032611
1D,-0.97060581
20,-0.97113783
1D,-0.97141104
1D,-0.97150477
20,-0.97153087
20,-0.97162146
2D,-0.97163945
AL,-0.97182268
20,-0.97223393
20,-0.97297388
20,-0.97363615
40,-0.97386014
AL,-0.97413051
40,-0.97465209
AL,-0.97587650
40,-0.97691776
40,-0.97711571
20,-0.97756176
AL,-0.97814260
40,-0.97839248
2D,-0.98006114
40,-0.98101126
1D,-0.98238852
20,-0.98256173
1D,-0.98294431
20,-0.98374135
20,-0.98403705
20,-0.98597517
AL,-0.98600896
AL,-0.98710292
2D,-0.98741113
2D,-0.98773658
40,-0.98888553
2D,-0.98893800
AL,-0.98895535
20,-0.98967335
AL,-0.98968303
40,-0.98981211
20,-0.99006944
40,-0.99066690
20,-0.99100959
40,-0.99138442
AL,-0.99149639
40,-0.99156696
1D,-0.99162335
20,-0.99199833
20,-0.99268643
AL,-0.99275129
20,-0.99279960
20,-0.99304848
40,-0.99307833
2D,-0.99386673
AL,-0.99422458
20,-0.99454304
2D,-0.99534291
AL,-0.99568438
1D,-0.99605346
40,-0.99636679
40,-0.99710289
AL,-0.99743758
40,-0.99787127
20,-0.99825271
20,-0.99874811
40,-0.99930920
AL,-0.99943960
40,-0.99974479
2D,-0.99999902
40,-1.00037838
20,-1.00062788
40,-1.00078676
AL,-1.00154408
AL,-1.00244211
AL,-1.00277336
40,-1.00320844
40,-1.00394939
AL,-1.00488380
40,-1.00495963
40,-1.00514682
AL,-1.00590814
AL,-1.00627830
40,-1.00660760
20,-1.00782765
20,-1.00798556
40,-1.00940608
AL,-1.01004268
20,-1.01059092
AL,-1.01100327
2D,-1.01393055
2D,-1.01412618
AL,-1.01544754
2D,-1.01551281
1D,-1.01587386
20,-1.01605666
1D,-1.01634415
40,-1.01679085
AL,-1.01704039
1D,-1.01774853
20,-1.01804807
2D,-1.01854686
20,-1.01863752
AL,-1.01921773
2D,-1.01951522
AL,-1.02017450
40,-1.02018357
2D,-1.02027347
1D,-1.02048659
1D,-1.02106101
40,-1.02129369
AL,-1.02228583
40,-1.02288545
20,-1.02337596
20,-1.02371922
2D,-1.02447590
AL,-1.02464574
AL,-1.02472763
20,-1.02509486
2D,-1.02517407
AL,-1.02609360
AL,-1.02655884
AL,-1.02724582
AL,-1.02735054
1D,-1.02770615
2D,-1.02855606
20,-1.02917964
40,-1.02936180
AL,-1.03090118
20,-1.03206665
40,-1.03326941
AL,-1.03330882
40,-1.03418406
AL,-1.03715361
40,-1.03725402
20,-1.03736046
40,-1.03736564
2D,-1.03748273
AL,-1.03875302
1D,-1.03891428
20,-1.03933914
40,-1.03968168
40,-1.03992944
AL,-1.03998194
AL,-1.04088811
20,-1.04165321
AL,-1.04307620
40,-1.04360784
40,-1.04472458
20,-1.04556999
20,-1.04600346
20,-1.04622126
20,-1.04680210
2D,-1.04847289
20,-1.04892915
AL,-1.04900351
1D,-1.04941481
40,-1.04989798
20,-1.05290237
AL,-1.05373087
AL,-1.05404543
1D,-1.05416569
40,-1.05617044
40,-1.05622616
AL,-1.05631002
20,-1.05668152
40,-1.05699197
AL,-1.05716014
40,-1.05717227
20,-1.05777899
AL,-1.05783810
AL,-1.05863521
40,-1.05902658
AL,-1.05961705
20,-1.06141399
2D,-1.06157275
20,-1.06162073
40,-1.06206826
AL,-1.06283345
20,-1.06339306
AL,-1.06364263
2D,-1.06442712
AL,-1.06491875
40,-1.06572686
AL,-1.06636878
AL,-1.06740144
AL,-1.06763162
AL,-1.06769575
40,-1.06783494
1D,-1.06846927
40,-1.07104631
AL,-1.07114539
1D,-1.07131060
40,-1.07177639
AL,-1.07301069
AL,-1.07449549
AL,-1.07471536
1D,-1.07501508
AL,-1.07512920
40,-1.07606836
40,-1.07657566
AL,-1.07679697
AL,-1.07733365
2D,-1.07771349
20,-1.07959661
AL,-1.08001894
AL,-1.08122337
2D,-1.08215532
AL,-1.08225006
AL,-1.08238669
AL,-1.08313569
20,-1.08378945
AL,-1.08487584
AL,-1.08626910
40,-1.08689650
40,-1.08713673
AL,-1.08760748
20,-1.08799833
2D,-1.08799956
1D,-1.08894023
40,-1.08963982
40,-1.09085244
2D,-1.09090317
40,-1.09103642
2D,-1.09105643
AL,-1.09105648
AL,-1.09122732
20,-1.09127797
2D,-1.09146205
20,-1.09150195
40,-1.09167811
20,-1.09198722
40,-1.09288448
40,-1.09510725
20,-1.09547775
40,-1.09601606
40,-1.09621538
AL,-1.09627347
20,-1.09782740
20,-1.09800869
20,-1.09912672
40,-1.09963792
20,-1.10043029
20,-1.10174387
2D,-1.10207003
AL,-1.10242791
20,-1.10283840
2D,-1.10299909
20,-1.10334839
40,-1.10376342
AL,-1.10376788
AL,-1.10387289
40,-1.10435293
20,-1.10474103
40,-1.10514595
40,-1.10528066
40,-1.10555260
AL,-1.10805493
AL,-1.10810065
20,-1.10822039
1D,-1.10846960
40,-1.10936540
40,-1.10943160
40,-1.10946683
AL,-1.11139306
40,-1.11151969
1D,-1.11267416
AL,-1.11320316
2D,-1.11352941
20,-1.11361135
AL,-1.11385248
1D,-1.11386621
40,-1.11392288
1D,-1.11586096
20,-1.11645916
AL,-1.11722445
40,-1.11746450
40,-1.11800808
40,-1.11959228
AL,-1.12015189
20,-1.12085571
20,-1.12112591
1D,-1.12257390
40,-1.12268033
40,-1.12271071
AL,-1.12294209
1D,-1.12371389
20,-1.12415665
20,-1.12512862
40,-1.12547332
40,-1.12570012
40,-1.12624032
20,-1.12649447
2D,-1.12722207
40,-1.12794130
AL,-1.12812501
AL,-1.12842273
2D,-1.12908504
2D,-1.12910567
20,-1.12918068
AL,-1.12925466
AL,-1.12936111
AL,-1.12945631
40,-1.12946814
20,-1.13156680
1D,-1.13242126
20,-1.13293048
AL,-1.13300511
20,-1.13342742
20,-1.13359647
40,-1.13362351
20,-1.13432720
AL,-1.13448464
20,-1.13516607
20,-1.13588298
40,-1.13598540
20,-1.13646551
2D,-1.13714469
20,-1.13844559
2D,-1.13913027
AL,-1.13984860
AL,-1.14029277
40,-1.14073899
40,-1.14182678
20,-1.14289880
40,-1.14314864
AL,-1.14433155
20,-1.14445984
40,-1.14491316
40,-1.14499238
40,-1.14506405
20,-1.14761209
AL,-1.14844866
40,-1.15067450
40,-1.15082365
40,-1.15146216
1D,-1.15179476
20,-1.15198127
40,-1.15232768
2D,-1.15315385
40,-1.15394730
AL,-1.15436328
20,-1.15597838
20,-1.15611544
AL,-1.15657080
40,-1.15693749
AL,-1.15717994
AL,-1.15737662
2D,-1.15794513
1D,-1.15804869
2D,-1.16013565
40,-1.16196492
2D,-1.16297820
40,-1.16325328
2D,-1.16339393
20,-1.16533269
AL,-1.16551861
20,-1.16553717
1D,-1.16658410
1D,-1.16785875
1D,-1.17007796
AL,-1.17055797
20,-1.17162087
20,-1.17320785
2D,-1.17459356
20,-1.17577594
2D,-1.17611751
40,-1.17680850
AL,-1.17710619
AL,-1.17720598
20,-1.17778096
20,-1.17819092
40,-1.17877808
40,-1.17929028
40,-1.17955951
40,-1.17984647
AL,-1.18147801
40,-1.18155993
AL,-1.18205696
AL,-1.18214458
40,-1.18234392
40,-1.18246821
AL,-1.18264522
20,-1.18290198
40,-1.18369577
40,-1.18558065
20,-1.18791134
40,-1.18800759
1D,-1.18904162
40,-1.18995578
1D,-1.19088188
40,-1.19114250
1D,-1.19144344
40,-1.19144430
40,-1.19152642
40,-1.19180873
20,-1.19202788
20,-1.19213995
40,-1.19322781
20,-1.19354606
AL,-1.19395418
40,-1.19418556
20,-1.19546882
40,-1.19550158
1D,-1.19696517
2D,-1.19816707
AL,-1.19846958
20,-1.19853278
40,-1.20011670
40,-1.20044031
20,-1.20089137
20,-1.20292059
AL,-1.20478296
AL,-1.20483482
40,-1.20557706
2D,-1.20669997
20,-1.20776978
40,-1.20799586
2D,-1.20845761
40,-1.21261196
AL,-1.21293459
1D,-1.21372672
40,-1.21384972
40,-1.21444082
1D,-1.21497543
AL,-1.21550289
20,-1.21574809
2D,-1.21714133
40,-1.21719235
AL,-1.21741562
40,-1.21791521
40,-1.22371948
AL,-1.22548636
AL,-1.22580656
40,-1.22590691
AL,-1.22851956
40,-1.22873139
AL,-1.22946375
40,-1.23073198
2D,-1.23180198
40,-1.23261080
20,-1.23312333
40,-1.23372169
40,-1.23496068
40,-1.23562167
2D,-1.23721657
1D,-1.23893517
AL,-1.23982510
AL,-1.23999004
20,-1.24082880
20,-1.24106332
1D,-1.24107463
20,-1.24222171
40,-1.24240701
20,-1.24267004
40,-1.24289498
1D,-1.24300938
20,-1.24418612
40,-1.24450389
2D,-1.24551508
40,-1.24855471
40,-1.24997594
AL,-1.25084011
AL,-1.25154814
40,-1.25330274
40,-1.25360514
40,-1.25384088
40,-1.25608766
40,-1.25623120
AL,-1.25776063
1D,-1.25958231
40,-1.25973804
40,-1.26036725
40,-1.26131518
40,-1.26155881
40,-1.26312334
AL,-1.26333736
40,-1.26595976
40,-1.26712804
40,-1.26996893
40,-1.27004750
40,-1.27029511
40,-1.27072637
AL,-1.27137586
AL,-1.27164814
1D,-1.27217517
20,-1.27259733
20,-1.27362449
20,-1.27409586
2D,-1.27416012
40,-1.27455614
40,-1.27488048
AL,-1.27592951
2D,-1.27677192
40,-1.27684224
40,-1.27725578
20,-1.27847278
40,-1.27900898
40,-1.28126726
40,-1.28164320
20,-1.28294174
AL,-1.28295990
40,-1.28362999
40,-1.28510595
40,-1.28540552
40,-1.28669921
20,-1.28767656
2D,-1.28800613
40,-1.28979349
AL,-1.28985276
AL,-1.29004035
20,-1.29064253
AL,-1.29155833
40,-1.29160800
1D,-1.29391549
40,-1.29411018
AL,-1.29501220
40,-1.29512466
20,-1.29691117
AL,-1.29694041
20,-1.29722619
1D,-1.29816554
40,-1.29836095
AL,-1.29927589
40,-1.30064509
1D,-1.30149865
40,-1.30182889
20,-1.30206119
20,-1.30625290
40,-1.30768055
40,-1.30776790
AL,-1.30793374
40,-1.30917392
1D,-1.30933944
20,-1.30979518
40,-1.31100167
40,-1.31313581
1D,-1.31352645
AL,-1.31550196
40,-1.31666802
AL,-1.31674663
40,-1.31699070
20,-1.31716329
1D,-1.31777669
20,-1.31796226
AL,-1.31805488
40,-1.31894960
20,-1.31942461
AL,-1.32022478
20,-1.32232399
40,-1.32384183
40,-1.32388532
40,-1.32556430
2D,-1.32586893
AL,-1.32709466
40,-1.32730916
40,-1.32749233
20,-1.32806821
40,-1.32831835
1D,-1.32877371
20,-1.32961506
AL,-1.32985160
40,-1.33018712
AL,-1.33027010
40,-1.33101496
40,-1.33108552
1D,-1.33226502
AL,-1.33507021
AL,-1.33666896
40,-1.33681680
1D,-1.33823115
40,-1.33840516
AL,-1.33847053
40,-1.33946955
20,-1.34197596
40,-1.34207873
1D,-1.34225680
AL,-1.34293624
2D,-1.34679511
40,-1.35229072
2D,-1.35396009
20,-1.35416686
20,-1.35509193
20,-1.35602182
40,-1.35698646
20,-1.35706509
40,-1.35758590
40,-1.35909151
2D,-1.35951780
20,-1.36057407
20,-1.36057866
1D,-1.36560332
40,-1.36763036
1D,-1.37033959
AL,-1.37127246
AL,-1.37196170
2D,-1.37204480
40,-1.37229163
40,-1.37272698
2D,-1.37370974
AL,-1.37720605
2D,-1.37725229
40,-1.37788075
2D,-1.37812954
20,-1.38172506
20,-1.38181839
20,-1.38317059
40,-1.38436902
40,-1.38498908
20,-1.38593715
40,-1.38596661
20,-1.38730575
AL,-1.38796994
40,-1.38856309
40,-1.38913154
40,-1.38999792
40,-1.39014342
40,-1.39056831
AL,-1.39093817
20,-1.39217851
20,-1.39253106
2D,-1.39383116
40,-1.39424035
40,-1.39472962
20,-1.39503149
40,-1.39596758
2D,-1.39631198
AL,-1.39635977
20,-1.39684959
40,-1.39966327
40,-1.39983707
40,-1.40016037
40,-1.40410110
20,-1.40415651
20,-1.40700587
AL,-1.40703629
40,-1.40834842
AL,-1.40937333
AL,-1.41004143
40,-1.41122855
40,-1.41194476
2D,-1.41251316
40,-1.41269484
40,-1.41296967
2D,-1.41389140
40,-1.41446763
40,-1.41522916
20,-1.41577578
AL,-1.41717765
AL,-1.41794263
40,-1.41953898
40,-1.41991590
20,-1.42052516
20,-1.42075990
40,-1.42393181
20,-1.42674275
40,-1.42720147
40,-1.42896361
40,-1.43528553
20,-1.43640073
20,-1.43722300
40,-1.43818032
40,-1.43859589
2D,-1.43939135
20,-1.44151646
20,-1.44250930
40,-1.44302227
1D,-1.44311365
2D,-1.44427845
20,-1.44552540
40,-1.44611477
40,-1.44774471
AL,-1.44811829
20,-1.44919323
40,-1.45099217
40,-1.45117029
40,-1.45363661
1D,-1.45417622
20,-1.45434570
1D,-1.45476557
40,-1.45557658
20,-1.45560195
1D,-1.45663090
40,-1.45693825
1D,-1.45929507
40,-1.46223440
20,-1.46244038
20,-1.46295777
20,-1.46299411
2D,-1.46306538
AL,-1.46330570
40,-1.46449514
40,-1.46593151
40,-1.46855592
1D,-1.46959724
1D,-1.47049275
AL,-1.47220608
40,-1.47245032
40,-1.47493251
40,-1.47502568
40,-1.47527317
40,-1.47607312
40,-1.47965592
40,-1.48038703
40,-1.48059793
40,-1.48372827
40,-1.48553313
40,-1.48814537
40,-1.48917284
40,-1.48977768
40,-1.49119447
40,-1.49409798
20,-1.49433720
20,-1.49921461
40,-1.49939909
2D,-1.50175962
40,-1.50234683
40,-1.50418006
40,-1.50525024
AL,-1.50870576
2D,-1.50953845
AL,-1.50971135
AL,-1.51184659
40,-1.51188511
40,-1.51552119
40,-1.51661687
40,-1.52162188
1D,-1.52253495
40,-1.52948538
40,-1.53744928
40,-1.53767275
40,-1.53774096
AL,-1.53909343
40,-1.54015825
40,-1.54438891
40,-1.54768268
20,-1.55187335
40,-1.55221517
40,-1.55351017
2D,-1.55689686
AL,-1.55809384
40,-1.56098547
40,-1.56210477
2D,-1.56668233
40,-1.56695354
40,-1.56723058
40,-1.56839918
20,-1.56996083
40,-1.57079609
40,-1.57088888
2D,-1.57124822
20,-1.57149737
40,-1.57432517
40,-1.57505302
40,-1.57518727
40,-1.57614511
40,-1.57655538
40,-1.57682094
40,-1.57720154
AL,-1.57724536
20,-1.57882118
20,-1.57898139
40,-1.57912677
40,-1.57992734
40,-1.58092959
40,-1.58095154
40,-1.58134932
40,-1.58454484
40,-1.58797110
40,-1.59176051
AL,-1.59198668
1D,-1.59206920
20,-1.59214560
2D,-1.59355146
40,-1.59390588
20,-1.59439169
40,-1.59472500
40,-1.59564714
40,-1.59886994
1D,-1.59913251
40,-1.59919245
40,-1.60021939
AL,-1.60384116
40,-1.60484201
2D,-1.60736176
AL,-1.60986631
40,-1.60991989
40,-1.61268988
2D,-1.61573189
20,-1.61732660
20,-1.61830771
40,-1.61861923
40,-1.61984513
40,-1.62294095
AL,-1.62668071
