Diet.5mo.as.AL,log10relab
AL,-0.24575815
2D,-0.24655033
AL,-0.24703306
1D,-0.24779624
1D,-0.24833845
AL,-0.24834529
2D,-0.24844673
AL,-0.24880903
1D,-0.24974604
2D,-0.25074949
AL,-0.25259600
AL,-0.25264227
2D,-0.25272146
2D,-0.25286515
20,-0.25370458
2D,-0.25388680
AL,-0.25435139
1D,-0.25598051
AL,-0.25610339
1D,-0.25629560
AL,-0.25706590
1D,-0.25714510
2D,-0.25733424
AL,-0.25866006
2D,-0.25885394
2D,-0.25932995
AL,-0.25953425
1D,-0.25997924
1D,-0.26214407
20,-0.26228044
1D,-0.26240349
AL,-0.26273588
1D,-0.26355266
AL,-0.26355886
AL,-0.26358864
20,-0.26372014
AL,-0.26391041
1D,-0.26475400
AL,-0.26527350
1D,-0.26554580
AL,-0.26691094
2D,-0.26818634
2D,-0.26917576
1D,-0.27171398
AL,-0.27185236
1D,-0.27217878
AL,-0.27299589
1D,-0.27329013
AL,-0.27505614
20,-0.27527311
AL,-0.27536511
AL,-0.27608059
20,-0.27779095
AL,-0.27882841
AL,-0.28164031
2D,-0.28249874
1D,-0.28272431
AL,-0.28291550
AL,-0.28352782
2D,-0.28402355
AL,-0.28516613
2D,-0.28560413
AL,-0.28602206
AL,-0.28615686
AL,-0.28756995
20,-0.28757355
2D,-0.28804699
20,-0.28835459
2D,-0.29133364
2D,-0.29218202
2D,-0.29247396
AL,-0.29260592
20,-0.29264250
1D,-0.29266865
20,-0.29297772
AL,-0.29312176
1D,-0.29556866
AL,-0.29569324
AL,-0.29587303
AL,-0.29660127
1D,-0.29685161
2D,-0.29712703
40,-0.29721910
AL,-0.29778215
1D,-0.29780610
40,-0.29791839
1D,-0.29862653
AL,-0.29918183
AL,-0.29984401
AL,-0.30007714
AL,-0.30043485
AL,-0.30063691
AL,-0.30064123
2D,-0.30069586
AL,-0.30292923
2D,-0.30387109
20,-0.30421975
AL,-0.30428801
2D,-0.30452477
AL,-0.30495228
AL,-0.30495748
2D,-0.30513964
AL,-0.30537743
1D,-0.30597952
AL,-0.30628103
20,-0.30665718
1D,-0.30675706
AL,-0.30683865
2D,-0.30705234
2D,-0.30719497
AL,-0.30775897
2D,-0.30777476
AL,-0.30847452
AL,-0.30854899
2D,-0.30932664
1D,-0.30974908
2D,-0.31012612
1D,-0.31015929
AL,-0.31042094
20,-0.31068019
2D,-0.31303926
2D,-0.31401247
AL,-0.31404602
40,-0.31419172
1D,-0.31455492
AL,-0.31470190
2D,-0.31515092
40,-0.31589668
2D,-0.31606216
2D,-0.31609652
40,-0.31683764
1D,-0.31691397
2D,-0.31693881
AL,-0.31703748
AL,-0.31707403
2D,-0.31713817
1D,-0.31749592
20,-0.31754200
1D,-0.31786129
1D,-0.31791859
1D,-0.31813219
AL,-0.31848189
AL,-0.31861871
2D,-0.31958318
AL,-0.32026569
1D,-0.32083986
2D,-0.32181642
2D,-0.32199648
2D,-0.32319423
2D,-0.32397070
AL,-0.32441190
AL,-0.32466320
AL,-0.32479318
2D,-0.32515174
20,-0.32543740
40,-0.32603084
20,-0.32724149
1D,-0.32725292
AL,-0.32752008
AL,-0.32800467
AL,-0.32825081
AL,-0.32883866
20,-0.32912710
2D,-0.33063927
1D,-0.33089356
2D,-0.33156375
AL,-0.33195519
AL,-0.33225672
AL,-0.33269123
2D,-0.33349821
2D,-0.33418696
2D,-0.33454766
AL,-0.33465878
2D,-0.33679664
AL,-0.33768061
20,-0.33967411
20,-0.34014419
20,-0.34076617
AL,-0.34083221
1D,-0.34108384
AL,-0.34110525
AL,-0.34123095
AL,-0.34124667
2D,-0.34198665
40,-0.34263175
40,-0.34267213
1D,-0.34316113
AL,-0.34320082
2D,-0.34400170
2D,-0.34425897
2D,-0.34433712
2D,-0.34435378
AL,-0.34483548
AL,-0.34516821
2D,-0.34519648
20,-0.34523488
AL,-0.34558137
1D,-0.34663441
1D,-0.34782841
1D,-0.34787715
20,-0.34792058
AL,-0.34801080
20,-0.34835950
20,-0.34837515
2D,-0.34864162
2D,-0.34874366
AL,-0.34929437
AL,-0.34936747
1D,-0.34937973
1D,-0.34942128
AL,-0.35026504
2D,-0.35041921
AL,-0.35086461
1D,-0.35088503
AL,-0.35097877
AL,-0.35137697
AL,-0.35190535
AL,-0.35193919
AL,-0.35242964
2D,-0.35259204
2D,-0.35392611
20,-0.35422773
1D,-0.35547447
1D,-0.35569586
20,-0.35584514
AL,-0.35590333
2D,-0.35616731
2D,-0.35700093
40,-0.35700558
2D,-0.35999442
1D,-0.36110771
20,-0.36165137
2D,-0.36325304
AL,-0.36356809
AL,-0.36465751
AL,-0.36502878
2D,-0.36504581
2D,-0.36577213
AL,-0.36647267
AL,-0.36708930
1D,-0.36718219
2D,-0.36732074
AL,-0.36805732
2D,-0.36825435
1D,-0.36837690
2D,-0.36838302
AL,-0.36843344
1D,-0.36874200
20,-0.36926227
2D,-0.36957322
2D,-0.36960533
1D,-0.36981194
2D,-0.37068978
AL,-0.37094386
20,-0.37179357
AL,-0.37216713
20,-0.37217404
2D,-0.37242558
1D,-0.37308211
AL,-0.37324497
AL,-0.37369347
1D,-0.37458466
2D,-0.37568634
1D,-0.37588714
40,-0.37615943
AL,-0.37659550
20,-0.37700162
AL,-0.37736245
1D,-0.37797973
2D,-0.37857531
2D,-0.37899784
1D,-0.37920292
1D,-0.37943290
20,-0.37980415
1D,-0.38113665
1D,-0.38115557
AL,-0.38235253
20,-0.38251054
AL,-0.38273051
2D,-0.38277179
2D,-0.38336994
AL,-0.38372669
1D,-0.38464808
2D,-0.38542952
2D,-0.38590963
1D,-0.38609766
AL,-0.38638667
AL,-0.38774072
AL,-0.38852762
1D,-0.38877659
AL,-0.39046035
1D,-0.39072978
20,-0.39076256
AL,-0.39102006
2D,-0.39110900
20,-0.39132084
AL,-0.39147353
AL,-0.39287456
20,-0.39304115
2D,-0.39345500
2D,-0.39395603
1D,-0.39433739
20,-0.39550803
AL,-0.39574292
AL,-0.39589023
1D,-0.39664442
AL,-0.39670264
2D,-0.39715323
AL,-0.39715734
AL,-0.39748666
AL,-0.39870656
1D,-0.39877164
1D,-0.39887892
1D,-0.39940201
20,-0.39994453
AL,-0.39999735
1D,-0.40043426
AL,-0.40051561
20,-0.40129115
20,-0.40136731
1D,-0.40168787
AL,-0.40229385
AL,-0.40320545
1D,-0.40345828
AL,-0.40396407
AL,-0.40443232
AL,-0.40454564
20,-0.40457452
2D,-0.40493425
2D,-0.40552067
AL,-0.40671626
AL,-0.40674995
2D,-0.40681409
AL,-0.40759449
20,-0.40829710
AL,-0.40895118
AL,-0.40950862
AL,-0.40962222
1D,-0.40983342
1D,-0.41000512
1D,-0.41009014
20,-0.41018798
AL,-0.41096279
AL,-0.41186126
AL,-0.41229078
1D,-0.41426861
1D,-0.41483874
AL,-0.41562339
40,-0.41576283
1D,-0.41584739
AL,-0.41643503
1D,-0.41656588
AL,-0.41668196
2D,-0.41899169
20,-0.41988625
1D,-0.41996473
AL,-0.42063343
AL,-0.42081280
40,-0.42086198
AL,-0.42128644
1D,-0.42216382
AL,-0.42225338
AL,-0.42408305
AL,-0.42477482
2D,-0.42484500
20,-0.42601316
AL,-0.42688899
2D,-0.42694897
2D,-0.42696911
AL,-0.42727679
AL,-0.42730931
AL,-0.42748296
AL,-0.42789543
20,-0.42825514
2D,-0.42870156
AL,-0.42894701
1D,-0.42914328
AL,-0.42917795
1D,-0.42921052
1D,-0.42943932
1D,-0.42945734
2D,-0.43035910
2D,-0.43059726
AL,-0.43124099
AL,-0.43229386
AL,-0.43261207
AL,-0.43311343
AL,-0.43331195
AL,-0.43371429
2D,-0.43376847
AL,-0.43394333
AL,-0.43501416
AL,-0.43537642
AL,-0.43552256
AL,-0.43645783
2D,-0.43754018
AL,-0.43769046
2D,-0.43804599
2D,-0.43821218
AL,-0.43852521
2D,-0.43925767
1D,-0.43971441
AL,-0.43996640
20,-0.44003325
AL,-0.44056577
AL,-0.44111965
1D,-0.44125827
20,-0.44180738
AL,-0.44235900
20,-0.44268960
2D,-0.44279801
20,-0.44293350
2D,-0.44316423
1D,-0.44348428
20,-0.44378990
2D,-0.44389526
AL,-0.44462969
AL,-0.44472787
1D,-0.44486688
1D,-0.44490302
20,-0.44513659
AL,-0.44615385
20,-0.44748115
AL,-0.44759960
40,-0.45001617
2D,-0.45032996
AL,-0.45036083
1D,-0.45057508
2D,-0.45071772
1D,-0.45089563
20,-0.45116704
AL,-0.45145675
20,-0.45225635
20,-0.45270336
2D,-0.45300168
2D,-0.45364128
2D,-0.45365043
AL,-0.45468594
1D,-0.45597459
AL,-0.45611170
2D,-0.45621069
2D,-0.45651791
2D,-0.45710553
AL,-0.45725877
20,-0.45774159
AL,-0.45793409
2D,-0.45901482
2D,-0.45913580
AL,-0.45914935
1D,-0.45918745
AL,-0.45994091
20,-0.46004982
AL,-0.46035199
AL,-0.46101627
AL,-0.46146956
40,-0.46228456
20,-0.46285424
AL,-0.46449219
AL,-0.46452285
1D,-0.46485003
20,-0.46490796
AL,-0.46606426
AL,-0.46615344
AL,-0.46616588
AL,-0.46639677
2D,-0.46674214
2D,-0.46715488
AL,-0.46774979
20,-0.46818589
AL,-0.46831105
2D,-0.46925258
AL,-0.46936937
20,-0.47002422
2D,-0.47072426
20,-0.47110388
AL,-0.47124517
2D,-0.47174627
AL,-0.47237610
2D,-0.47324674
20,-0.47405284
1D,-0.47406388
2D,-0.47412240
AL,-0.47459417
1D,-0.47532610
