taxon.ID	phylum	class	order	family	genus	species
87	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		
88	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_NOV	
89	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_NOV	MGBC000147
90	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
91	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	MGBC000151
92	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	MGBC000153
93	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	MGBC000158
97	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae		
98	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
99	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	MGBC000161
100	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	MGBC000170
101	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC000171
102	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
103	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
104	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	oralis
105	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
106	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	MGBC000176
107	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovoracaceae_NOV	
108	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovoracaceae_NOV	MGBC000178
109	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	
110	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	sp004793465
111	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae		
112	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	
113	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	sp004793665
114	Firmicutes	Bacilli	Bacillales			
115	Firmicutes	Bacilli	Bacillales	Bacillaceae_A		
117	Firmicutes	Bacilli	Bacillales	Bacillaceae_A	Bacillus_AC	sp001076885
118	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC000200
121	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	licheniformis
122	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	
123	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	MGBC000210
124	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	
125	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	caecicola
126	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	pasteuri_A
127	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
