#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
UNCLASSIFIED	6.76646	8.61102	11.25835	3.64349	16.17097	14.24341	7.61326	8.03844	7.23636	8.61351	9.60195	6.62147	15.41171	15.46933	7.33989	14.6321	12.41718	8.27799	14.80468	16.06498	7.91492	5.33279	5.77699	7.7912	12.504	11.31416	7.35121	5.01095	10.19048	11.76627	20.01925	16.8166	12.7664	12.50136	10.25843	16.8633	14.88465	10.17979	16.8051	14.49085	17.53198	21.18793	14.8806	12.89798	14.29245	11.24308	11.59906	13.72764	6.30195	17.79498	13.13438	11.39154	8.25101	9.25287	10.92528	12.65844	17.08548	10.92873	11.72734	10.07939	13.35181	8.65755	13.27783	9.02157	16.6902	12.68261	11.30362	12.75414	8.71548	13.03922	19.13401	20.12728	18.27579	8.6537	14.13439	13.87811	18.4957	18.23115	19.09098	16.77637	15.99269	16.0034	17.30126	15.19296	14.56689	20.6937	11.19082	21.63684	21.16518	11.62147	11.34373	16.59059	16.491	17.71128	14.51436	16.5862	14.61966	18.88301	19.43646	19.57146	14.97726	14.98186	13.43884	13.979	19.10212	21.11603	13.93307	14.02407	15.65712	14.18662	13.55136	13.25938	14.02502	14.46425	17.68462	16.88932	19.31854	15.45063	14.07078	15.0487	15.35498	14.7479	12.88225	14.80209	14.88144	14.05404	10.71593	14.73606	13.52864	12.63433	13.8439	13.23255	14.20604	9.80737	11.82503	12.63308	12.05468	14.1476	14.09986	14.44795	12.70371
k__Bacteria	93.2335360859122	91.38898456941472	88.74164837800167	96.3565120096495	83.82903131348382	85.75658858719719	92.38673622562088	91.96155826942352	92.7636420189469	91.38648522232327	90.39805063663232	93.37852841747048	84.58828885514258	84.53067173947579	92.6601114620567	85.36789939175313	87.58282001382972	91.72200913350062	85.19531628879908	83.93502143099775	92.08508253786674	94.6672105592042	94.22301483838172	92.20880338646404	87.49600174461042	88.68583751779381	92.64879497372644	94.98904704886536	89.80951559117601	88.23373006268126	79.79039780197327	82.88262024027516	87.13570992326378	87.49864143864367	89.73061783345717	83.13670371459915	85.11535115775108	89.82021125703157	83.19489621303353	85.50915375480196	82.46802086476461	78.81206951806418	85.11940499614398	87.10201832941344	85.70755300457358	88.70722846876089	87.97597427453944	86.26367712218189	93.69805474254382	82.18756363057963	86.8656150027349	88.60845672203452	91.74898684703598	90.74712657560246	89.07471633199884	87.3415625924358	82.91452448189183	89.07127046309361	88.27265900908597	89.92060752664095	86.6481908103858	91.29047445843244	86.59295047900731	90.97843105214616	83.2562432944904	87.31738737883624	88.69638093580892	87.24585818733783	91.28452059648468	86.96078391382248	80.86599037210587	79.87272398696315	81.7242146111558	91.34630309018628	85.86174972899892	86.12189000597338	81.31492876583917	81.72990276613713	80.9090173237662	83.22362743134543	84.00730687170271	83.99659698068257	82.69874264205858	84.80703761745725	85.43311043941276	79.30629844474363	88.80918102882099	78.36316384838894	78.83482278575319	88.37852731730457	88.5976541253701	83.40940614606032	83.50900315842455	82.09198615297134	85.48563863509258	83.41380419618109	85.38033771509045	81.11698627391002	80.56354430622095	80.42853988852679	85.02274297403018	84.93902669229507	86.56116134297773	85.91222169983584	80.89787746126895	78.87854693465923	86.06693464601858	85.97593192647473	84.3428775121827	85.81337560836221	86.44864163730392	86.74062159982272	85.97498384189086	85.52775921227757	82.31538498202748	83.0869306056789	80.68146224397682	84.54936807576803	85.9292233741706	84.95130324877805	84.64501563503327	85.25209729011529	87.11774736619287	85.19790876418767	85.11856217045185	85.94595582568749	89.28407469168435	85.2639396987075	86.47136384534923	87.36567446506905	86.15609581576315	86.76744917484126	85.79395581720102	90.19263213973298	88.17496621402893	87.36692004419429	87.94532079427142	85.85239940816417	85.90013608001215	85.55205141054275	87.29628941231206
k__Bacteria|p__Bacteroidetes	46.38623880163008	45.55636697342916	29.079378042064175	26.09105980287846	24.782183720433203	24.04569292993058	39.88446266943523	44.37518550426259	42.76249909427701	43.99035598417738	45.9854793190498	46.42101571015038	25.84023349136221	26.194618150643976	52.61063221401573	25.190419510048088	32.36566184778068	43.63364564135421	14.237125617527274	23.704559438448086	33.03579040719905	42.90140008187283	40.916673974119206	39.95883248160961	21.574851606187785	29.530947182857552	38.83341814245503	50.84068368701366	32.268163790040944	29.48243620989033	11.342422355253662	19.6562963827014	32.41706257719902	30.736146520408564	43.3985458345772	14.06088575823904	18.05845592070868	27.813879312211537	15.102219758738793	20.369366390646512	26.572903410659062	15.867304886934429	36.1049277784044	36.69962537432789	37.377175285113445	31.724431534419555	31.789524401869556	23.37822109749465	31.85291606428105	13.321776263213703	18.939779113367305	32.551459625931095	35.96955722537121	33.63886178134427	30.29610142631108	27.359639672205407	17.97523875728809	27.37725743898308	28.6736607895168	32.71477155737046	9.03775289428648	34.29353572011905	19.54803488014941	28.506562932548324	12.2981264956621	14.264500208278726	26.42708669982427	7.0969358129766285	34.26381824647966	11.88789570023358	12.049671406767716	11.882792943898888	19.02319878010403	40.48039738795562	31.001278698920213	33.63548115849594	17.81079960379034	8.8600146012377	18.40800698551493	11.952244477180106	17.26405601036026	19.76147618797968	11.290379680212933	17.882208415126755	31.78306495837957	15.799543527499027	40.16739791650821	13.946480341691014	18.93027488928721	39.76286930722874	39.266422135663504	20.743927649465817	3.861331042540814	16.591019220119083	28.428214933844583	22.84585649331441	11.22925616842378	26.57633387782526	17.978407476642083	17.88076843091542	39.68633781076559	37.61252500344453	38.30554717223029	28.94273878648436	16.03042407557845	12.322678589026768	37.38072015586076	21.21725224952694	32.753451590160736	41.77233795468928	19.27368142871609	42.74285516544472	40.80456128870467	34.47897256627927	32.3824526434662	24.99902875316102	11.326459008974462	35.201825020620944	35.47134280703217	39.054603176648456	40.79171117425862	42.12301864499732	45.32379212698814	40.089628895053096	17.523639285286087	25.23169571126878	35.00646429148573	30.88443213357538	34.494075573138645	41.246680346345855	47.44546410136466	39.41840009966088	51.19965366522782	46.46548532206371	41.06365490315366	28.186979733250297	21.214337378103664	49.711621358465806	66.30218324361593	27.56144032721531	32.15236697194584
k__Bacteria|p__Firmicutes	41.7696310886784	40.46456572585501	53.68431343126114	64.52034934861491	52.86627562366069	55.845393692009225	45.62507882093939	41.56945675377413	41.168170378897365	42.15465737821953	37.64497549550142	39.77557399182278	51.54559095614489	52.02901729673735	32.674197676218576	49.56808539714705	45.58762854601449	40.98125609783438	60.39433779132075	50.96159311744387	53.317032576718496	44.116122394163256	47.282644681041816	45.99326242251031	60.722163963558415	54.01633535473402	50.51435585563453	39.78073848183077	52.42146399345864	52.85446602861482	56.56460327536999	52.709346382599726	40.778403470093856	46.389565975140485	36.5484643886716	59.732998329617175	57.00893440598362	52.36156340833575	57.51374656367933	55.44262178259213	44.77632530700323	52.145990034213256	38.5067250052996	40.16329810460984	38.69791153540332	43.679305697546376	44.65733249870575	51.790149475886565	49.33826611239518	57.136864971758	57.25833878520273	42.87498281493652	39.86014548792372	42.298587829074286	44.90986862969984	43.93664901274928	50.95886875685321	44.887226257445775	46.12362953134634	41.26846035628143	68.98814576711047	43.80086878139964	58.44610058987922	48.06889984071358	59.05018009727892	62.77268808011382	54.0881263208656	70.72300200000268	45.53694534683017	65.12813122990968	59.59729685875371	57.82301986676012	50.75045941119807	39.12214180341672	43.62512833465163	43.211985573679165	55.27492567543193	57.78718236543822	52.77446809346084	64.29864113235944	59.20630850561909	54.75641561084169	62.5596388485167	57.49242086444167	45.09602112504282	51.47877309425241	40.48387831402251	52.7838207234159	48.90783116518759	34.62888995254467	33.71305521339921	50.907896764611706	65.51267936337901	53.89152590921668	47.1782587752558	48.030444204540096	61.70961241943157	43.55208306859915	51.57450111653878	51.30732805126451	35.38784299422754	35.928086178971924	33.6827570068247	41.76075437816064	52.92574556339628	55.24957820996559	40.03200347093789	55.4675788246018	42.15715950692853	33.20894397069277	59.60235312654158	32.58216283998741	29.656279706408903	33.317499747926355	40.07922101159471	43.27651421128628	57.79448730405813	31.574944598021958	35.65385647747892	32.149608336241926	31.238827070716912	30.563968105351645	30.80188217705009	29.31288577693486	57.77258979680053	49.88093567990687	32.91725265733019	40.98306757230839	37.48652953177995	41.68469689184393	31.51556384063248	41.2140437835893	25.958213924249105	34.73745776777459	33.503339315037145	39.76131435393714	59.820961259784426	28.121236739062223	14.230989644239532	48.45823041106195	45.51887799937506
k__Bacteria|p__Proteobacteria	1.9372809996219524	2.418006309331403	1.748157228057606	0.9022149288999513	1.4585496987264366	1.5845244873256423	2.956578810039564	2.66493560477797	2.5791168154169823	2.104091574407293	2.5689860418221997	2.0080585643534943	1.4947765700169957	1.5366746284847566	2.659437859072489	1.2471567157939998	1.0777503916801816	1.727785830449578	0.8103522899441701	1.4846174785650588	1.0863553442239753	1.3522264356276723	1.7880418856835187	1.281001580166113	0.9450705636440606	1.4903743680702768	1.6483054464980698	1.5350514970237792	1.5132633948566383	1.5042086301085902	0.904758262680662	1.065654258870792	1.3313679795665134	1.1621569555880653	1.2924580379180763	0.8999548177105358	0.878169124034981	0.7558550417701722	0.928504958675182	1.040791766757323	0.8743259572082345	0.6609337773923898	1.455958910518543	1.1141132062496946	1.4731499917979112	1.3135492132050537	1.2389391075354146	1.409897352675224	0.9495548263718876	1.2865826097721549	1.0686468554481454	0.973824661066504	1.1774147482080128	1.1257544040209788	1.41750831329253	1.1264790693796816	1.2666437332476206	1.897013196941829	1.4083196563627594	1.7062884881217757	0.2591647387138639	0.6585425153467468	0.706265324033846	0.64031529558811	0.4105840339279788	0.2064270355023067	0.4629330210182675	0.2328940938452796	0.6306025967325758	0.3818534982439859	0.47570227496295	0.6329993248690817	0.3689766565479073	0.6167062960527745	0.6194173020319137	0.8200354122588773	0.7040585588134958	0.8467000804110966	0.8298595179846727	0.6212394116867642	0.8132159327101437	0.9247437351394284	0.6196037894970954	0.6543795829600619	0.9992427463214596	0.8694983948884801	1.2911611593056167	0.8180565763624866	1.0150929451539152	0.8226715215331295	0.9224862586195	1.069208495505118	0.6754959756481804	0.8944372641007342	0.5984764075204196	0.8571018622570196	0.4138043447699573	0.9156566527585236	0.9225009204328136	0.9147861698381148	1.0834023023465795	0.8342489619799369	0.8659578580751491	1.0978860722820123	0.8549611281616748	0.9216566888006672	1.0924389947684492	0.5551379948560548	0.7939616774609318	1.128806305427518	0.4558004630326849	0.6622906681011265	0.9986424248154834	7.635023531796819	2.782786830856414	5.41721253707267	0.6722137389781417	6.318864662636984	1.177883422323781	1.4045678576546463	1.216027223616015	1.4493368051903337	0.9120182736272	1.1160414860656005	1.3396044432947882	3.918998072122029	6.268259890989453	3.5160205549616315	5.33383907748183	0.6733971456418592	1.9556399877028443	1.076176672115556	1.6556431799647635	1.854351497529696	5.697839864260685	12.967714681703676	0.4634278679254133	1.2930830841659462	0.721543963044886	2.5222199140701984	3.074845931598809
k__Bacteria|p__Verrucomicrobia	1.702201961734933	1.9493087630687025	1.404931154626009	0.1290984547905284	0.4088341857158606	0.5703670706934485	3.205477916105009	2.2589529134859463	4.605705549876512	1.8213600664264693	2.964441354137211	3.8334967406809417	1.2130975681293708	0.5098044812607785	4.070086129959694	1.4619423506636509	1.5629854894028026	2.403657799151604	0.7344943803206234	0.961878558594948	2.441313665702654	5.169179965211618	3.1768985467027493	3.384597895342872	1.2071123392689944	1.0150271475586536	0.9435909172894142	1.519729763734797	0.3209163420619492	1.655308892840932	0.0826041206570417	0.3515330615325985	0.8045293547511865	0.3400984694078641	0.7995614591469861	0.2390346505202154	0.6808632285161982	0.3930712085030216	0.5242110410383243	1.5062693961369629	2.422069279193964	0.0523785014017054	0.1489419348622527	0.9545684392757078	1.1504953377568934	0.6496740527249097	0.6481202968823865	0.3205449391683471	3.3052363602651305	0.1512572441189174	0.09115677638387	0.8858896286155568	0.195599665059196	1.3949829791454762	0.3343686701670573	3.895302679278749	2.401917693906132	1.1373510525432422	1.42610659715309	1.2287201415477853	0.0	0.0	0.0	0.0878760665532679	0.0	0.0160140088452785	0.0	0.0	0.062657694937427	0.0	0.2102111419722892	0.0318292805088048	0.638421392120888	5.684845826514652	0.0	0.0249322871567292	0.010677062755932	0.1532102928754077	0.0	0.0	0.0253450044831927	0.0	0.0317645870488147	0.0015265266771142	1.2540128249628324	0.1404118013964186	1.1028501718521049	0.4225968700015918	0.9689745738242496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0874522229019024	0.0260542502286318	0.0273939606860322	0.5927275503691539	0.0013177811090525	0.0	0.0022365461003942	0.0	0.0	0.0	0.0	0.0102392253299789	0.1235712608760415	0.0	0.4190179207622636	0.9625587240970416	0.3306812027390008	0.7428716548473034	0.1510952228558164	0.0332649668831916	0.187259940414211	0.0279699622082925	0.0846284882964326	0.3312836621923932	0.1134023398153113	0.2085424636451925	0.2949636799324941	0.0	0.0	0.1789431424970737	0.1755925574155182	0.1980626588877724	0.0105974563126128	0.3863153180283004	0.1579774947126335	0.4428941381151368	0.0	0.0242304807156151	0.1344314798720017	0.0	0.8326652513799027	0.0	0.0797772879403311	0.0730058868355165
k__Bacteria|p__Bacteria_unclassified	1.3042998764274774	0.9673980961595398	2.7748359806372207	4.713789474465657	4.2458733728029046	3.671608310748837	0.7014370561194039	1.088282276716185	1.648159456843235	1.312191125361773	1.216839119814644	1.2278342701613196	4.484422757168727	4.2137694555411285	0.6369270741678854	7.741161116844173	6.753239744524366	2.962767650226684	8.473210935413686	6.425276251555736	2.15814282839046	1.099398716387206	1.0204164060967065	1.565677818861143	2.9860197995391924	2.5478376888811947	0.642222916998877	1.2219106045224897	3.052490720670686	2.623082914287439	10.01730925433015	6.06487696555213	2.770033291404917	4.2287130922240665	2.472981420184492	6.395074777815881	7.057620221903751	4.702564106425266	7.350660096433715	4.556714396270393	3.919515355254273	8.732440352257125	3.600082674609412	3.056070125307633	2.082693538011138	3.774024267184531	2.4485202644741464	4.110662088285243	2.560336825061907	6.219697878169884	6.748832853284482	3.2895357907314984	1.7908943487607187	2.168547784926542	2.954376746469938	2.772395879809097	3.440446987399172	0.986473227505808	2.333937931466134	0.5892227649398202	6.929047863448608	2.960673642876521	3.5749478699223025	3.3415104027418554	7.180455272998481	9.56260733748694	5.333428690965407	8.516216535624965	1.6698768637235537	8.701826499198951	7.969836633712303	8.341539878668092	8.28583015373148	2.6581774199244204	3.870417909323674	3.845084023096693	6.006654692740669	12.667229461398874	4.591157915331915	4.753151033486431	4.74075074576805	3.6012281006512943	6.085585454298221	5.782881645985508	3.0646907109267905	9.009917190638724	1.4449875417656377	8.957575714763566	6.467261988122934	7.694296453213658	7.435566208810406	8.120489554161994	12.106300187876808	7.795860718768014	6.419860330165228	8.975984300562235	10.9688632144603	7.46475821506206	8.178432369309311	8.314075111064769	5.493217396260521	6.763626316695889	7.715732989699931	7.009292468133776	9.496998234777925	8.08766622231366	4.429391758090023	6.87015617078755	4.152562534298056	3.393987656011212	5.082531763461191	4.466274606174872	4.871471546957299	1.9686565674494951	4.594169803539922	3.839431007800335	7.937603618486929	1.5386209453060191	2.6616405081702594	3.42701202922863	2.372659039760927	3.247942927768541	2.90886158455718	3.107508524264982	7.981039839637813	5.782976772878374	2.027391340839015	2.640573054105152	2.497621579036298	2.2788025699096286	1.289696445094903	2.279372213078162	1.2999157009599032	4.720943924826829	3.310414479049638	2.815800886256364	5.208157075565072	0.956155342688606	3.3544174939516904	4.718546398702216	2.995851519309608
k__Bacteria|p__Actinobacteria	0.1338833578193699	0.0333295626724655	0.0500325413555173	0.0	0.0673063292415961	0.0389935208305985	0.0137009529822595	0.0047452164067022	0.0	0.0038290937308153	0.017338346112106	0.1125398024487354	0.0101590534915026	0.0467961798749738	0.008830508622334	0.159134301256167	0.235553994427195	0.0128961144841701	0.5458037938041913	0.3970881928879072	0.0464477156320999	0.0288829659416132	0.0383393447377375	0.0254311879739867	0.0607834724119808	0.0853246442758694	0.0668924299710305	0.0909425136445837	0.2332263310387249	0.1142185635661409	0.8787085317569608	3.034921507358826	9.034321973608618	4.641960425874637	5.218606692958827	1.8087553806963048	1.431308256603858	3.7932691977647055	1.775553794468183	2.593381471483262	3.90288155544585	1.3530219658652702	5.302777204390278	5.114351789844503	4.92611874573557	7.56623482798811	7.193537705072195	5.25420216867185	5.691753923974144	4.071384663546982	2.758860619048361	8.032773061599023	12.755375371713122	10.120391797090914	9.1624925460584	8.251096279013597	6.871408553197616	12.78595819680093	8.307004503240845	12.413144218379664	1.4340882116454523	9.57686293293531	4.317593142805878	10.333266514001023	4.316905725603247	0.4951594403479046	2.384806203135375	0.6768097448882733	9.120619847781288	0.8610769862362788	0.5632720559369034	1.160542692258176	2.6573200450319585	2.78402522169177	6.745507484071488	4.58436293909697	1.5078131723068091	1.4155659647758354	4.305524811473823	1.5983430542699617	1.9576306727619757	4.9527333460704765	2.1117785523590795	2.9936205822661472	3.2360780737792965	2.0081623666984205	4.318905925366902	1.4346336221543805	2.5453872241772846	5.46980008278437	7.260124308877474	2.5678920232563005	1.353204939880059	2.919143040766832	2.8608281883065545	2.7044089941269047	1.058810106038608	2.5207022367631264	1.883656229423752	1.9841881647579336	2.7792234223350984	3.799205446466527	5.991157660031517	7.099322050775031	1.5897484593546345	2.2969751129499523	3.132388873054917	1.865815284295584	4.475511412292204	6.185737042002938	2.034274855552381	5.868029073414487	8.681470150907462	7.796925596086623	1.7338665746459323	5.403640562434411	2.9174416747422023	9.727852908767913	10.93652160403484	8.830874865577625	8.694515928989967	7.754428466992137	6.962650740325077	11.276888921727522	0.5016802935764262	1.1313495895114372	12.8857633685429	7.064253826341434	6.461235425024724	1.4715000550151578	3.563416122939964	2.6214789116847266	5.237635208684305	2.41438460827494	4.575495989308797	3.500678909174808	1.238437212892851	4.415689384959812	1.2910017351601104	1.4247410881654738	2.5544116430094284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	30.944052129902914	29.834025401670008	20.596830098556133	17.460638277802975	14.037481460858729	17.05343514722601	27.29702854155582	28.790497008966693	29.820774381651862	26.99603380574893	31.61218926782526	30.312818030464523	18.42760102123724	17.533554805814244	32.900909170932785	17.48378117171794	22.091759146058383	28.01986305976388	10.018781765866937	15.733443503695522	20.489768838926445	21.4749064466764	21.030944381684677	19.63816068035184	12.30994372945186	17.397057316678023	23.328670098240405	32.14194729187393	19.655315420416184	17.795966896818257	8.620925305306825	13.102924882400051	20.54258021835347	21.62852668129401	27.56909377321468	10.580201383819915	12.795390739544718	20.56167868904417	11.655604959445997	15.024933119071507	19.760640793927266	13.316796574397785	27.850379847557843	29.093119346244045	28.179700644820745	24.671185097012238	23.90002381375741	18.17243497507802	29.417965976075617	10.04394957813279	13.648281996422206	22.28189012622372	25.4723904920255	24.14230203118468	20.825321287027634	16.206890734902167	10.277379681317216	16.19776195487336	19.53433338447928	18.274196393148383	6.838751783805104	21.223920248647776	12.67682082237538	19.78240463503729	7.474972089154269	10.326040718817582	17.619961815526935	5.560719466599801	20.476058200353656	9.35290188836174	8.859265488617021	7.551390969354661	12.816955681053864	25.77244595386515	20.300792857627822	21.61274474301605	13.154442881202936	7.063536629026949	12.942813228739569	8.767193031755085	13.13965007364852	13.967407727571594	8.014690754035257	12.358395307655057	19.588992065897127	10.611761667885345	25.55977963150844	9.275612615242254	11.717661185654096	36.20561590700177	32.41838991798228	17.767504695846725	3.2619117687699584	14.516512308880673	23.86739368994899	18.74067114394062	8.895845690805444	20.89825840243234	14.576063986210622	14.488059375651684	31.19354354920417	26.65522609255424	25.049830607650712	21.20729141215488	10.927847083223131	7.884681980025526	28.81812738857152	15.9748010195646	24.50646406703377	33.05125331167485	14.572448688924558	31.11442478189681	32.30322592394274	19.451838474144107	17.28148124851231	12.65646890263288	6.98866053215817	18.499900576249694	17.86052656507876	22.12802202380813	23.543731770332908	26.877505439542208	34.72135318992879	33.77463210058836	9.183577862269525	14.917261390458949	21.17603077066746	14.745281413281411	16.652335305291125	19.56778809428597	23.159482266481984	20.924543033677523	26.332953343863053	46.46548532206371	21.3699790016726	16.008616437453906	10.715908680947908	24.20160251788278	32.645092575221845	11.396996187963412	13.244077981528454
k__Bacteria|p__Firmicutes|c__Bacilli	16.99075841269973	16.752926011849976	11.9413335565242	18.946224437362947	16.269429419580234	9.612961978611596	20.15831467207572	19.5389987162578	18.086099455341472	16.704791515947093	11.868396227303712	17.231550714400868	9.45595563453868	9.32906697825094	15.502740864449198	6.031651857944439	4.641661745400939	10.53825348417894	6.525697122241514	4.229519303916549	7.235769530577955	7.193723463509703	10.162621133724825	5.626470532077972	7.376359176679557	7.124949237509541	8.813225886755227	4.163360433247065	6.910042920052233	4.618753420845163	1.822529393710376	5.924089055792565	6.402004372006655	9.05288943889468	4.264510256635412	1.534046770612155	1.5142361432368547	0.9899714224116252	1.0191624370785248	1.6060671294841922	11.687747269850416	5.502051840815952	6.355840435240573	11.67489323081959	7.989855218458259	8.979200671172146	7.351368734868394	8.861905048006063	22.75146181880932	4.591051943124236	2.9400275456980647	8.331144317919131	5.161385129573432	13.510332382736465	9.441358760478987	5.732506245941858	8.0425181713372	13.636188009006393	9.543960446669264	8.012285813053815	1.8388565701970885	3.687065328829066	4.738663950064466	15.953531874992194	5.68068720344616	1.0252196404311298	5.439899826640752	1.2910903832136815	9.318323862489155	2.2147259407956223	3.3762036176296437	5.360354354033882	3.930787619210294	6.194585601648819	7.245331171327548	4.8338838910112765	3.498457793210119	8.175331318768286	7.543778775429846	2.8300860297048467	3.41731643477262	6.355442917009083	3.291939229106841	4.933895353804666	9.589875190135126	5.33650496108711	8.60600040208928	7.1348955415483495	6.54574993768843	5.989722121139342	8.338831787301825	4.321825015695657	4.543015035323034	5.862363761599525	3.1540353802610586	2.53348576794851	1.602580400878476	5.259957969644049	4.834658575588472	4.573046135251801	4.22975392884354	8.31970475933317	3.978186509116705	5.019420198412203	3.867970215055653	2.6942426951772465	1.7171041997357874	3.01085994087876	3.8310643537971183	3.628996166452272	2.3997364880740832	8.305509932866785	3.44159579818766	6.982479861963514	1.697022208327977	1.696181009184544	4.973261809742303	6.219045678686733	8.965425520744091	4.859945127038044	4.926475341983952	5.450149529337612	9.50344855403483	6.884417017690186	1.858853208103196	5.193516434847896	5.698047147971011	3.41778797003475	2.221570397096405	8.755691792647308	5.284745992462258	6.887999245765103	5.952410392784153	13.089404163069457	5.489940928921247	4.642914021832604	2.7485902889116827	5.168194251012312	1.6658269789452436	3.998292233081997	4.8920316808923205
